t2A_X0t0	t3A_X0t1	t4A_X0t2	t5A_X0t3	t6A_X0t4	t7A_X0t5	t8A_X0t6	t2B_X1t0	t3B_X1t1	t4B_X1t2	t5B_X1t3	t6B_X1t4	t7B_X1t5	t8B_X1t6	t2C_X2t0	t3C_X2t1	t4C_X2t2	t5C_X2t3	t6C_X2t4	t7C_X2t5	t8C_X2t6	t2A_Y0t0	t3A_Y0t1	t4A_Y0t2	t5A_Y0t3	t6A_Y0t4	t7A_Y0t5	t8A_Y0t6	t2B_Y1t0	t3B_Y1t1	t4B_Y1t2	t5B_Y1t3	t6B_Y1t4	t7B_Y1t5	t8B_Y1t6	t2C_Y2t0	t3C_Y2t1	t4C_Y2t2	t5C_Y2t3	t6C_Y2t4	t7C_Y2t5	t8C_Y2t6	R0	R1	R2	R3	R4	R5	D0	D1	D2	D3	D4	D5	signedCPS1	signedCPS2	signedCPS3	signedCPS4	signedCPS5	signedCPD1	signedCPD2	signedCPD3	signedCPD4	signedCPD5	FDR_S1	FDR_S2	FDR_S3	FDR_S4	FDR_S5	FDR_D1	FDR_D2	FDR_D3	FDR_D4	FDR_D5
Ga0187557_1005108	2.88155	2.95449	2.90909	2.88691	2.83972	2.84215	2.89125	2.88123	2.92041	2.9214	2.88024	2.84421	2.8368	2.92086	2.88405	2.93995	2.93813	2.89785	2.82686	2.84086	2.87746	3.30321	3.33093	3.34608	3.34866	3.33184	3.34262	3.33749	3.31052	3.33802	3.32557	3.34332	3.33742	3.34302	3.34297	3.32009	3.33211	3.33118	3.34064	3.32892	3.34066	3.34723	0.07216130747606311	0.06659869529067061	0.06635410513312306	0.06624356532751674	0.066221781354954	0.06612470066521091	0.006218582910438773	0.006218582910438773	0.006218582910438773	0.006218582910438773	0.006218582910438773	0.006218582910438773	-0.127	-0.023	-0.006	-0.002	-0.008	-0.0	-0.0	-0.0	-0.0	-0.0	0.5592824919441459	0.7801637299771161	0.8529865424430638	0.8641228871319517	0.8451763879128598	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1005145	3.13622	3.15761	3.12284	3.08419	3.04758	2.41201	3.08948	3.00449	3.02995	3.03406	2.99029	2.97474	2.96082	3.05558	3.06152	3.09486	3.07834	3.05046	3.01371	2.73314	3.01791	3.3328	3.33278	3.2428	3.30009	3.28479	3.24922	3.27108	3.34201	3.33183	3.2439	3.30445	3.24928	3.25122	3.29086	3.33528	3.29711	3.31773	3.26769	3.25994	3.24671	3.28907	0.1094159753742384	0.10935564675567601	0.11094193676116836	0.11161910236269618	0.11481579760590932	0.20139938553103046	0.016161496346990212	0.016161496346990212	0.01615868374797987	0.01615868374797987	0.01615868374797987	0.01615868374797987	-0.026	0.049	0.027	0.083	0.813	-0.0	-0.001	-0.0	-0.0	-0.0	0.768990563755141	0.6994359605911327	0.7652968345855395	0.6266670247046184	0.08691365461847388	0.995220297029703	0.9838059701492538	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1005166	2.7983	2.96216	2.93009	2.92773	2.85124	2.86913	2.85312	2.79527	2.88379	2.88366	2.88864	2.93274	2.90456	2.90311	2.78193	2.88957	2.89275	2.93735	2.93201	2.87641	2.88177	3.25212	3.29925	3.27817	3.29713	3.29319	3.25187	3.29136	3.25829	3.3003	3.27125	3.29734	3.26179	3.27299	3.30113	3.2602	3.28559	3.27692	3.29998	3.2854	3.26277	3.29223	0.15723705221794415	0.12262955616090429	0.12255818228308624	0.12044616013985306	0.12043586080275509	0.1301345468206351	0.013574659868857123	0.013574659868857123	0.013574659868857123	0.013574659868857123	0.013574659868857123	0.013574659868857123	-0.557	-0.044	-0.069	-0.024	0.193	-0.0	-0.0	-0.0	-0.0	-0.0	0.21731228668941982	0.7120581994070834	0.6538151473745849	0.7763721716818283	0.4783450777202072	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_100565	2.86554	2.96116	2.96303	2.94184	2.91251	2.89575	2.89739	2.8424	2.90834	2.91877	2.94707	2.94032	2.91605	2.96427	2.83947	2.92507	2.93608	2.97197	2.93966	2.90756	2.91742	3.16898	3.20165	3.18109	3.19559	3.18593	3.1919	3.18405	3.17347	3.19821	3.18752	3.1916	3.18432	3.17483	3.19921	3.16936	3.18053	3.20402	3.18918	3.18439	3.17966	3.20204	0.08568731624785596	0.07750062689156903	0.07719465192092292	0.07722318792708117	0.07723027772722466	0.07754991687630418	0.009334362992169425	0.009334362992169425	0.009334362992169425	0.009334362992169425	0.009334362992169425	0.009334362992169425	-0.178	-0.016	0.005	0.005	0.016	-0.0	-0.0	-0.0	-0.0	-0.0	0.49549426417568	0.8099710836335308	0.8563355229914095	0.8563355229914095	0.8099710836335308	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_101101	2.79989	2.9315	2.94636	2.9361	2.88158	2.85967	2.86368	2.81592	2.89974	2.92652	2.9006	2.88803	2.87215	2.9158	2.8284	2.90751	2.90873	2.95835	2.89901	2.86579	2.85099	3.13334	3.16897	3.1378	3.09734	3.15071	3.11071	3.14489	3.17978	3.19047	3.14413	3.10101	3.12188	3.10814	3.09836	3.16716	3.16282	3.15379	3.11051	3.11328	3.11594	3.12026	0.07853330820456778	0.07514718774923722	0.07557676385993566	0.07996020429564828	0.08066157889294123	0.08277250760613596	0.01209102092108406	0.01209102092108406	0.01209102092108406	0.01209102092108406	0.01209102092108406	0.01209102092108406	-0.057	0.024	0.124	0.035	0.06	-0.0	-0.0	-0.0	-0.0	-0.0	0.680939110483586	0.7763721716818283	0.5636165254237286	0.739383088031102	0.6737734856728326	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_101140	2.75568	2.92372	2.88015	2.88075	2.80367	2.74084	2.81988	2.75878	2.85767	2.87671	2.8131	2.76917	2.82355	2.90571	2.79622	2.88206	2.8656	2.88045	2.81188	2.77495	2.79354	3.18654	3.2226	3.20495	3.25041	3.24601	3.24074	3.24228	3.19284	3.21213	3.22531	3.24731	3.24387	3.21629	3.25576	3.19518	3.20143	3.24144	3.24557	3.23413	3.22473	3.25104	0.10631490880478849	0.10317740733429115	0.10126274690650613	0.09676744918049855	0.09515092781203519	0.09680159521808664	0.009876598937892053	0.009876598937892053	0.009876598937892053	0.009876598937892053	0.009876598937892053	0.009876598937892053	-0.093	-0.077	-0.157	-0.052	0.037	-0.0	-0.0	-0.0	-0.0	-0.0	0.6104384650317891	0.6373946605960262	0.5212611985472154	0.6925275059061758	0.7332759948652113	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_10161	2.78802	2.8899	2.88418	2.86108	2.80934	2.76399	2.81318	2.7687	2.861	2.85635	2.85502	2.83516	2.79776	2.83571	2.77951	2.86453	2.87158	2.8851	2.84105	2.7803	2.78763	3.33156	3.34217	3.33287	3.32569	3.33444	3.31661	3.31748	3.34918	3.35383	3.32968	3.32075	3.33136	3.29562	3.32041	3.34846	3.33874	3.33946	3.31256	3.31986	3.31366	3.32809	0.07625814169683771	0.07618066483780066	0.0761874293079705	0.07619821004826362	0.07623255910925773	0.0774775616393311	0.008933963321380592	0.008933963321380592	0.008933963321380592	0.008933963321380592	0.008933963321380592	0.008933963321380592	-0.007	0.003	0.007	0.009	0.046	-0.0	-0.0	-0.0	-0.0	-0.0	0.8492449134527783	0.862323777286543	0.8492449134527783	0.8408502170767	0.706880478087649	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_102195	2.7881	2.89294	2.84758	2.87082	2.80047	2.80102	2.81757	2.79947	2.88252	2.87285	2.82592	2.79319	2.83688	2.80768	2.77947	2.87481	2.87172	2.86456	2.83809	2.82026	2.76958	3.1892	3.20654	3.20029	3.18188	3.20366	3.1724	3.1862	3.19956	3.22317	3.18827	3.20366	3.19941	3.14235	3.18374	3.22	3.20079	3.2137	3.1862	3.17224	3.16553	3.18171	0.06834228209533759	0.0677203115716571	0.06766600021368804	0.06765794195196895	0.06763043205460643	0.06848650199252804	0.009261353808838635	0.009261353808838635	0.009261353808838635	0.009261353808838635	0.009261353808838635	0.009261353808838635	-0.03	-0.004	-0.005	-0.004	0.034	-0.0	-0.0	-0.0	-0.0	-0.0	0.7548863871635605	0.8595141063619689	0.8563355229914095	0.8595141063619689	0.7424119178082187	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_102223	2.84926	2.94196	2.97163	2.92686	2.86906	2.91542	2.83528	2.86918	2.90009	2.9281	2.91503	2.95195	2.87566	2.86945	2.84889	2.89879	2.91885	2.94699	2.94272	2.91281	2.84041	3.26891	3.28602	3.28363	3.28149	3.27066	3.24588	3.26516	3.27099	3.28806	3.26884	3.28358	3.26367	3.26086	3.26576	3.27105	3.27402	3.30517	3.2815	3.26115	3.25129	3.25756	0.0667188008677591	0.06262899891153044	0.060885487044618866	0.06042702233224878	0.06041408496414768	0.060683497100078546	0.007701749355790905	0.007701749355790905	0.007701749355790905	0.007701749355790905	0.007701749355790905	0.007701749355790905	-0.12	-0.069	-0.023	-0.004	0.013	-0.0	-0.0	-0.0	-0.0	-0.0	0.5693273530941235	0.6538151473745849	0.7801637299771161	0.8595141063619689	0.8231483748987121	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187564_102248	2.73052	2.83577	2.83479	2.86406	2.82817	2.84398	2.72512	2.7756	2.80409	2.81138	2.85889	2.86499	2.80634	2.74113	2.77619	2.80011	2.8276	2.79096	2.8881	2.84556	2.73391	3.23009	3.27255	3.28613	3.29344	3.27466	3.28862	3.28588	3.25928	3.26434	3.26576	3.29276	3.27405	3.28169	3.29347	3.24979	3.25095	3.27587	3.28804	3.28958	3.28341	3.29373	0.09515572749417951	0.0931209293578982	0.08986574992088144	0.08589781475682685	0.08572060239617224	0.08575319334034677	0.008305964834001296	0.008305964834001296	0.008307177670455053	0.008307177670455053	0.008307177670455053	0.008307177670455053	-0.074	-0.141	-0.167	-0.013	0.013	-0.0	0.001	-0.0	-0.0	-0.0	0.6440026283865747	0.5405032772869762	0.5093388819095477	0.8231483748987121	0.8231483748987121	0.995220297029703	0.9838059701492538	0.995220297029703	0.995220297029703	0.995220297029703
