ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0187564_10276	22.4588617642954	23.6986122011357	23.0731421864254	23.5848959443214	23.2057194548305	23.3670303086571	23.3323861796315	23.0770899937691	22.9363669221298	23.7034960337354	22.5786318710857	22.6954279171734	22.6797840295392	23.2015987348849	22.5028049848489	22.8932827544975	23.1541760789985	21.7730453056927	23.3718863942951	23.0234071690982	23.1435210597549
Ga0187564_10374	27.0955846852242	27.1876278973217	26.8137058824807	26.1341139418073	26.768473989723	26.2154700426786	26.5721003176196	27.2614702944138	27.3251617339318	26.368443398609	26.6650575893318	26.6249251072892	26.193815168461	26.9231932057539	27.4982348399028	26.7033097182462	27.1528043885813	26.3784225447874	26.3974628630744	26.2046426055698	26.4787474753477
Ga0187564_10396	26.3997593953097	27.8829378578578	27.2051147356211	27.2610402557712	27.4592644176167	26.9968722160566	27.4293449254128	26.3961597575775	27.7296631618583	27.2142164650328	27.1238811658142	27.4607410046585	26.4763599425947	26.9180916445671	26.4165487009845	27.2413667310073	27.4666079454319	26.7047196003758	26.7080358608948	26.7366160793256	27.1734125911963
Ga0187564_10414	22.9456856432818	24.2203463877915	22.9618407417915	23.2905185017291	23.6312161740929	22.3418888438125	22.5908238357661	23.959820910249	24.4898469972285	23.5679440705759	23.2513274994544	22.5808460160721	22.0225510148217	23.8344213722713	23.7318578795194	22.9159637561669	23.9576436168524	22.6672887396593	22.3800868273294	22.1822199293171	22.9702829300196
Ga0187564_104170	25.7331124539283	26.3670213231044	25.3902730979374	25.6581386934425	25.1665997208421	25.0604183885455	25.4252912656985	26.4888592510598	26.1723530137157	25.5155161348044	25.8339652445355	25.2217492545238	24.2479833109672	25.5438573318617	25.9739797758488	25.5749119865163	26.0287981519353	25.2304866508746	24.0254855965304	24.6542008497564	25.8571033440018
Ga0187564_105148	26.0525640400414	26.6893904324892	25.8700943217967	25.7926147766631	26.5097691509817	26.3194427894443	25.9982600050067	26.0031162085869	26.6895409087301	26.3867646707199	26.2130782591105	26.0773360056109	26.4882872637477	25.8904623927366	26.5587050205985	26.5170080089861	26.4203567549344	26.2104357972739	26.9378377460809	26.403865026596	26.1008737269831
Ga0187564_105183	26.9196859804565	27.2142527704401	25.7833917931123	25.971995538953	26.4947341349536	25.5765951645126	25.2913983485903	27.5823835020509	26.5968461981101	25.8608629827013	26.5023894357918	25.8295984453934	24.9416388434775	25.7227304376583	27.3940202236682	26.3784637190447	26.9516780695787	25.5114656985422	25.4297255086274	25.259117003995	25.8066658942632
Ga0196617_10000410	23.2239089590531	24.3324991607424	24.8272637097152	24.7170926072874	24.3951222975033	23.0743128816271	23.0465398653484	23.6642372816041	24.494412235186	23.2753200793288	24.5320948331938	23.5543870716836	23.3835918811294	23.7171321609809	23.4223405141708	24.136182869085	24.1380969165649	23.9612785581236	24.1906649852268	23.2289523813783	23.4915066642358
Ga0196617_100004108	24.1561028951917	23.9631488455963	24.2964549626761	23.1949378029997	24.0093100662712	23.0619770330187	23.5997971880161	24.5065872615385	24.7375941872821	23.4812266856466	23.938679296453	23.4392817962087	22.3176845184937	22.2283113958327	24.6963239317241	24.3198879038201	24.2771516143301	23.4885049455782	22.776603490125	22.6898307757562	23.7044361025736
Ga0196617_100004109	25.1869129394796	24.6538928584042	24.4755526839198	24.6498411766473	25.5287017152258	24.8162638144437	23.8125076341263	25.5573054854135	24.9717784929843	24.6180169215998	24.8758000199238	25.4036078575296	24.4538421046207	24.1202006460209	25.9412208851943	24.5919973269564	25.3510329793896	24.643611836202	24.5493721784218	24.6350529595322	24.4628966837372
