ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0187564_102195	16.2461506849693	18.041881688665	17.2417406242033	17.6471131518251	16.4482955145081	16.4574189222507	16.732006368832	16.4525149543035	17.8772067037529	17.7050936528651	16.8933862257852	16.3494555573436	17.0796479113572	16.588031178186	16.0982775335402	17.7086445931257	17.6540495144324	17.5279828762312	17.0702128010264	16.768533416804	15.9397905336625
Ga0187564_102223	17.4407006849693	19.134861688665	19.7110606242033	18.8479931518251	17.7895355145081	18.6337689222507	17.198596368832	17.6539549543035	18.2081667037529	18.7253836528651	18.4821762257852	19.1772055573436	17.7686179113572	17.658601178186	17.0740575335402	17.9477845931257	18.3114395144324	18.8339328762312	18.7537228010264	18.201193416804	16.9299505336625
Ga0187564_102248	15.4287106849693	17.141151688665	17.1244006242033	17.6329831518251	17.0113655145081	17.2824189222507	15.345646368832	16.1736149543035	16.6410367037529	16.7627336528651	17.5784062257852	17.6859555573436	16.6784879113572	15.625691178186	15.8424675335402	16.2260145931257	16.6783095144324	16.0781898762312	17.7184328010264	16.980453416804	15.1867005336625
Ga0187564_10255	17.4463606849693	18.808521688665	18.2922806242033	18.4440731518251	17.1995555145081	17.0896489222507	17.263646368832	17.4028149543035	18.4332067037529	18.0244336528651	18.1553162257852	18.0004555573436	17.6055779113572	17.951351178186	17.6087475335402	18.4535145931257	18.2202895144324	19.0803028762312	17.9125228010264	17.347613416804	17.1966205336625
Ga0187564_10276	14.0653376849693	16.990221688665	16.8238706242033	17.2119531518251	16.7069855145081	16.6922689222507	16.564576368832	14.5985249543035	17.0979167037529	17.2543236528651	16.8223562257851	16.9061355573436	16.4458079113572	17.129611178186	15.0827875335402	16.9237545931257	17.2928495144324	17.1746528762312	16.1573528010264	16.569038416804	16.3797205336625
Ga0187564_10374	14.6531016849693	15.717450688665	15.7652896242033	15.7972861518251	15.1740855145081	15.4713289222507	15.443496368832	14.5527349543035	14.7658997037529	14.9999846528651	15.2498762257852	15.7825855573436	15.5142279113572	16.386031178186	14.0836175335402	15.2987045931257	14.7415405144324	13.5823928762312	15.7189428010264	15.492778416804	15.2306605336625
Ga0187564_10396	16.3702906849693	19.236501688665	19.1497806242033	19.1086331518251	17.3025355145081	17.3185289222507	17.689136368832	16.7394549543035	18.5717567037529	18.7491136528651	18.5041862257852	18.0845855573436	17.7441479113572	18.516461178186	16.2720575335402	18.7558245931257	19.0139795144324	19.2698528762312	18.0685428010264	17.531338416804	17.8463405336625
Ga0187564_10414	16.6554606849693	18.478101688665	18.5017906242033	18.6633731518251	17.6180355145081	17.7141589222507	17.674486368832	16.5235549543035	17.9179067037529	18.0788536528651	18.2983562257852	18.8107355573436	18.1438079113572	17.772441178186	16.5270475335402	18.0524145931257	17.9181595144324	18.9746228762312	18.4932228010264	17.928983416804	17.8337705336625
Ga0187564_104170	16.1346706849693	18.336891688665	18.6045106242033	18.0652231518251	16.6946655145081	16.7058589222507	17.070626368832	15.8415949543035	17.2984267037529	17.9581836528651	17.4448262257852	18.1963255573436	17.4724179113572	18.189931178186	15.8481275335402	17.7968845931257	17.6223695144324	18.6956028762312	17.6208828010264	17.089138416804	17.2544005336625
Ga0187564_105148	20.2285906849693	21.575241688665	21.4145806242033	20.3315931518251	19.4960555145081	19.0777289222507	20.081776368832	19.5632549543035	21.1447567037529	21.0039336528651	20.5149962257852	19.9810755573436	19.8504179113572	21.443101178186	19.4713775335402	21.2712045931257	21.0364695144324	21.8228828762312	20.4058128010264	19.464073416804	20.3165205336625
