T5C	9	+	2.92744e+12
T5B	2	+	3.87484e+12
T4C	12	-	1.20564e+11
T4A	12	+	7.91775e+12
T2C	12	+	5.09168e+12
T8C	13	+	8.77062e+11
T6C	9	-	1.09674e+12
T6A	9	+	6.14106e+12
T5A	12	-	7.19082e+11
T5A	4	-	1.01414e+12
T4C	9	+	7.79162e+11
T4B	12	-	5.09777e+11
T4B	4	-	4.02409e+11
T3C	12	-	1.49682e+12
T3A	12	+	5.90511e+12
T3A	4	+	2.64911e+13
T1C	12	+	9.66466e+12
T1A	8	-	4.15404e+12
T7C	13	+	6.23616e+11
T7A	9	-	1.74778e+12
T5C	9	-	7.6147e+11
T5B	2	-	1.26319e+12
T4A	12	-	2.83073e+12
T3C	9	+	8.8929e+12
T3B	2	+	1.24275e+13
T2C	12	-	2.07653e+12
T2A	12	+	4.1642e+12
T2A	4	+	2.20076e+13
T1B	12	+	7.01865e+12
T1B	4	+	1.04113e+13
T8C	13	-	4.07022e+11
T8A	13	+	9.00822e+11
T8A	5	+	6.88174e+12
T7B	13	+	5.63687e+12
T7B	5	+	1.41388e+13
T6C	13	+	1.7154e+12
T6A	9	-	4.7936e+12
T4C	9	-	5.62832e+11
T4A	9	+	2.37696e+13
T3A	12	-	2.77871e+12
T3A	4	-	4.92309e+12
T2C	9	+	8.21581e+12
T2B	2	+	1.98468e+13
T1C	12	-	3.08799e+12
T1A	12	+	5.79347e+12
T8B	3	+	2.69783e+12
T7C	13	-	2.61931e+11
T7A	13	+	1.33136e+12
T6B	13	+	1.12284e+12
T6B	5	+	2.48837e+11
T5C	13	+	1.02138e+12
T3C	9	-	2.12251e+12
T3B	2	-	4.02645e+12
T2A	12	-	1.8391e+12
T2A	4	-	4.10507e+12
T1C	9	+	1.23391e+13
T1B	12	-	2.6914e+12
T1B	4	-	3.61751e+12
T8C	1	+	6.93089e+11
T8A	13	-	5.03669e+11
T8A	5	-	1.86771e+12
T7B	13	-	3.72616e+12
T7B	5	-	1.03077e+13
T6C	13	-	1.51433e+12
T6A	13	+	4.73986e+12
T4C	13	+	7.4578e+11
T4A	9	-	6.13377e+12
T2C	9	-	2.11652e+12
T2B	2	-	3.81716e+12
