t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0187564_101142;Ga0187557_1001157;Ga0196617_1044492	7.6308E+07	7.8355E+07	1.8749E+08	1.3868E+07	2.9647E+07	2.6271E+07	1.2274E+07	1809500	707120	2346800	1641500	3452500	632840	356540	377110	2994900	2606900	1476600	1191000	925090	6306000	1579600	394080	434340	2
Ga0196617_10004911;Ga0187564_101144;Ga0187557_1001159;Ga0196617_1100471;Ga0196617_1140981	6.8806E+07	5.12E+07	4.5822E+07	3.0279E+07	4.0892E+07	4.6105E+07	2.4228E+07	2.3674E+07	8852400	1.7073E+07	2.0147E+07	2.8666E+07	3.1109E+07	2.8098E+07	4.1526E+07	2.8867E+07	2.7901E+07	3.2607E+07	4.0645E+07	2.8938E+07	3.4854E+07	2.1626E+07	4.7892E+07	2.6904E+07	16
Ga0196617_10004910;Ga0187564_101145;Ga0187557_1001160	3.9684E+07	3.1677E+07	4.3351E+07	1.3969E+07	2.4676E+07	2.2493E+07	1.2567E+07	5073700	6875800	4165800	6513800	8802500	3128200	3614500	1298200	1.0837E+07	6924800	7376600	7551200	2873600	6947300	5269800	4067200	5166100	9
Ga0187564_101148;Ga0187557_1001163	599960	0	686660	1196000	0	759110	1024900	1131200	791060	989690	980020	1261500	1969600	0	1448400	2025100	970370	1193700	3140000	1315500	0	1867400	2231400	1284200	1
Ga0196617_1000494;Ga0187564_101151;Ga0187557_1001166	1.294E+08	1.5838E+08	2.1459E+08	3.7307E+07	4.0012E+07	5.0524E+07	5.5284E+07	2.8806E+07	4.6147E+07	5.8079E+07	6.5627E+07	7.4764E+07	5.9172E+07	5.6061E+07	5.7614E+07	6.4363E+07	5.1991E+07	2.8043E+07	1.0441E+08	1.0552E+08	1.1606E+08	9.2925E+07	9.4401E+07	6.8584E+07	8
Ga0196617_1000493;Ga0187564_101152;Ga0187557_1001167;Ga0196617_1092211	8.8375E+07	1.1347E+08	1.6476E+08	4.895E+07	4.2747E+07	5.3178E+07	2.8613E+07	3.3426E+07	2.4054E+07	5.4229E+07	4.3668E+07	3.7032E+07	3.7449E+07	3.0137E+07	4.3161E+07	3.2853E+07	4.5731E+07	1.4035E+07	8.5874E+07	3.0246E+07	8.9359E+07	4.4717E+07	6.9631E+07	5.307E+07	13
Ga0196617_1000492;Ga0187564_101153;Ga0187557_1001168;Ga0196617_1009371	1.5066E+08	1.1781E+08	1.6215E+08	9.3144E+07	9.9253E+07	1.1461E+08	4.2835E+07	2.8743E+07	2.282E+07	1.5374E+07	2.0217E+07	2.7036E+07	1.6031E+07	2.2536E+07	1.2181E+07	2.6866E+07	1.7544E+07	1.6841E+07	2.7376E+07	1.2048E+07	3.9985E+07	2.9843E+07	2.5163E+07	2.7166E+07	24
Ga0187564_101154;Ga0187557_1001169;Ga0196617_1000491;Ga0196617_1003201;Ga0196617_1038692	7.5582E+07	6.9851E+07	1.1839E+08	4.4423E+07	3.6062E+07	3.7736E+07	6.8566E+07	6.2148E+07	6.4675E+07	4.2463E+07	8.5285E+07	6.7483E+07	1.1948E+08	5.5149E+07	6.1489E+07	1.1111E+08	8.8609E+07	1.1444E+08	1.4832E+08	1.2826E+08	4.351E+07	1.8545E+08	2.2433E+08	1.6882E+08	12
Ga0196617_1003202;Ga0187564_101155;Ga0187557_1001170;Ga0196617_1148391;Ga0196617_1009373;Ga0196617_1085851;Ga0196617_1038691	3355900	4714500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7327300	0	3
Ga0196617_1003204;Ga0187564_101157;Ga0187557_1001172	7.3102E+07	1.4799E+08	2.028E+08	4.8664E+07	7.0223E+07	7.5113E+07	2.9424E+07	2.3681E+07	4.997E+07	5.039E+07	8.3396E+07	5.4113E+07	6.2848E+07	6.2694E+07	7.0388E+07	7.1025E+07	4.8725E+07	3.0462E+07	1.1264E+08	6.3153E+07	3.8492E+07	3.5833E+07	1.2032E+08	7.9752E+07	4
