t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_1000416	0	0	0	1001000	0	570690	1343500	1097900	1338700	738090	965870	982060	773330	0	908810	0	0	0	0	0	0	0	0	0	5
Ga0196617_10004162	1532500	748750	0	3177300	0	1659700	4227400	2040800	4180200	5457200	2137200	1665900	2138700	1207600	0	4598000	1568100	1960600	1875000	2021600	0	1877800	3054500	0	5
Ga0196617_10004163	6702500	4384000	3525300	8528700	6985200	6091000	1.0057E+07	1.4079E+07	9747100	1.2149E+07	1.0463E+07	1.1947E+07	1.6049E+07	1.4472E+07	1.7576E+07	1.327E+07	1.7342E+07	2.8797E+07	3.0462E+07	3.3729E+07	2.2884E+07	2.4936E+07	1.7527E+07	2.2827E+07	19
Ga0196617_10004164	1.7972E+07	2902800	3927600	2.7162E+07	4.1435E+07	5.2675E+07	6.0078E+07	7.8718E+07	8.8177E+07	4.6875E+07	9.7146E+07	1.5095E+08	1.2771E+08	1.4675E+08	7.3309E+07	6.6738E+07	3.2424E+07	4.4699E+07	9661200	1.274E+07	5208000	2.9024E+07	2.3942E+07	3.3568E+07	10
Ga0196617_10004165	2.7393E+08	2.6852E+08	1.3693E+08	3.9705E+08	3.321E+08	2.3839E+08	2.6286E+08	2.2007E+08	3.0607E+08	1.4596E+08	2.7426E+08	1.3926E+08	1.7938E+08	5.5608E+07	9.0626E+07	1.892E+07	1.3033E+07	1.5702E+07	1.3249E+07	1.301E+07	5442100	1.0506E+07	4574000	7215700	35
Ga0196617_10004170	1.2337E+09	1.9281E+09	1.1253E+09	3.8701E+09	1.8465E+09	3.2361E+09	2.9194E+09	3.5234E+09	4.3599E+09	4.4435E+09	4.5202E+09	3.8351E+09	3.1824E+09	1.9966E+09	4.3529E+09	2.0728E+09	1.6882E+09	2.3377E+09	1.7169E+09	1.986E+09	1.0129E+09	6.8111E+08	7.1018E+08	6.4277E+08	115
Ga0196617_10004171	1.0139E+08	4.4462E+07	2.5302E+07	1.7375E+08	2.7809E+08	1.6935E+08	2.9506E+08	3.6381E+08	3.2345E+08	3.4294E+08	3.2479E+08	3.0794E+08	6.2434E+08	4.7828E+08	5.4057E+08	4.0369E+08	2.2043E+08	3.5399E+08	6.4315E+08	2.8447E+08	3.5036E+08	7.2621E+08	6.8616E+08	6.1899E+08	17
Ga0196617_10004172	2.4479E+07	4.316E+07	2.103E+07	8.0055E+07	6.8697E+07	7.3689E+07	1.2753E+08	9.7992E+07	1.8449E+08	1.7235E+08	1.0066E+08	9.5435E+07	2.5086E+08	1.7587E+08	2.254E+08	5.1624E+07	5.827E+07	4.5039E+07	7.4442E+07	6.1202E+07	1.1339E+08	2.9291E+07	1.9201E+07	3.9126E+07	9
Ga0196617_10004173	0	0	0	0	0	0	0	0	0	0	390650	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ga0196617_10004174	0	0	904650	0	0	0	905620	3588600	0	2626400	3879500	4989300	3697700	2096200	3566800	1581700	2313400	6058400	1701000	4126800	1855500	0	0	0	8
Ga0196617_10004175;Ga0196617_10002083	4044500	3832000	4745900	6640200	8513800	4112800	8187000	5420700	4493300	1.1565E+07	1.2364E+07	1.2672E+07	7688200	1.0764E+07	7796600	1.4672E+07	1.1504E+07	1.1308E+07	1.2999E+07	1.533E+07	2.1743E+07	1.5649E+07	1.4793E+07	1.4612E+07	16
Ga0196617_10004176	8.6351E+07	5.9605E+07	3.9764E+07	1.0151E+08	7.3738E+07	7.0198E+07	6.7002E+07	8.1238E+07	7.9893E+07	7.5786E+07	8.2572E+07	6.8665E+07	4.834E+07	3.3526E+07	5.3831E+07	1.2929E+07	2.8118E+07	1.8782E+07	9029300	1.7075E+07	1.4967E+07	1.41E+07	6866000	1.3329E+07	25
Ga0196617_10004177	3.4211E+07	2.3238E+07	6796800	2550200	4496800	2999200	0	2194100	2014700	1189700	1336200	2182300	0	1994400	2238000	3008500	1954000	2065000	2699300	1470300	2600400	0	1650300	0	10
Ga0196617_10004178	4.1693E+07	3.4442E+07	3.4731E+07	8.7408E+07	1.1798E+08	9.4876E+07	1.4648E+08	1.1243E+08	1.5683E+08	1.555E+08	2.1002E+08	2.0712E+08	2.6183E+08	3.0608E+08	3.6453E+08	4.033E+08	3.23E+08	4.3069E+08	4.3621E+08	5.7401E+08	2.4141E+08	5.4042E+08	4.3314E+08	4.2206E+08	27
Ga0196617_1000418	6.3815E+07	5.5403E+07	3.2719E+07	7.9081E+07	1.0283E+08	4.8658E+07	1.0914E+08	7.607E+07	1.2144E+08	9.5147E+07	1.3494E+08	8.5703E+07	7.6213E+07	5.6065E+07	1.0282E+08	1.7025E+07	2.0469E+07	2.0646E+07	1.0746E+07	1.6468E+07	8842400	4896100	3456400	2363900	49
Ga0196617_10004180	1.7867E+07	1.8834E+07	1.5033E+07	4.0935E+07	2.812E+07	2.3028E+07	4.5697E+07	3.251E+07	5.022E+07	3.0285E+07	3.4087E+07	4.4917E+07	4.5464E+07	3.5813E+07	4.0862E+07	2.7233E+07	2.3779E+07	2.0654E+07	2.5013E+07	2.5974E+07	2.5634E+07	7032600	1.0019E+07	7574500	10
Ga0196617_10004181	4918700	2967100	0	1.1408E+07	8187400	7855000	1.2065E+07	8495900	6153200	3346500	2577300	5294700	0	2124500	2382500	1501200	1754800	2813400	1729900	3110600	0	0	2692900	0	7
Ga0196617_1000421	6311800	5306300	3354700	2510500	1243100	2597900	4638700	3434000	5446700	1780500	2737800	2272300	8115300	2569500	5687100	2958300	3026100	1955700	2411900	2623300	3508700	5260800	2247200	2224800	9
Ga0196617_10004211	5.1388E+07	4.6257E+07	3.722E+07	2.4856E+07	2.4578E+07	2.1382E+07	2.1556E+07	1.4508E+07	1.3705E+07	2.7442E+07	3.0745E+07	2.0325E+07	2.7714E+07	3.1601E+07	3.6402E+07	1.9015E+07	1.0279E+07	1.4471E+07	1.4167E+07	9655700	3.6634E+07	9494500	8566300	1.1484E+07	25
Ga0196617_10004212	4180700	1.1212E+07	6806600	3169200	6307000	3517900	3473100	1962900	2549200	2881800	1856300	3479500	0	0	2937800	2428600	1627700	0	1812600	2868100	2944700	0	0	0	20
Ga0196617_10004213	0	4547200	5863200	1.4345E+07	3820500	1.6922E+07	1824000	0	3666900	8866300	6321700	2.014E+07	1.2309E+07	3139400	0	0	0	0	1.3727E+07	0	4464200	3.3117E+07	0	5131500	6
Ga0196617_10004214	1575800	1250100	369350	0	602620	0	0	0	0	0	0	330830	0	0	0	0	0	0	415410	0	0	0	0	762970	4
Ga0196617_10004215	3.0979E+07	1.1334E+07	1.0246E+07	4.1433E+07	4.8943E+07	4.5434E+07	6.6212E+07	4.3877E+07	3.0121E+07	4266400	3337800	3.2765E+07	6.462E+07	7.2443E+07	5.7444E+07	1.359E+07	2755400	1.1121E+07	3515800	1.9898E+07	3341700	3.3402E+07	5.0879E+07	4.2983E+07	8
Ga0196617_10004216	1.0918E+07	6479800	6792900	749040	2113000	895530	1060900	900750	1094800	2127100	533110	881340	710550	0	0	870100	1072700	797920	632900	954300	1162900	1111700	867420	1003500	11
Ga0196617_10004217	1890500	1978500	1552200	1414400	3267300	955930	2788000	1955500	1513800	1826100	1749400	0	0	0	0	2091900	0	1304900	1691700	0	0	0	0	0	6
Ga0196617_10004221	6501600	6209700	1.1566E+07	1.2398E+07	5818300	1.1103E+07	3.4705E+07	2.4288E+07	3.3313E+07	2.1694E+07	3.0742E+07	3.3236E+07	4.2306E+07	3.9338E+07	4.1403E+07	4.207E+07	3.9217E+07	3.3168E+07	3.4075E+07	2.1382E+07	4.2878E+07	3.9457E+07	3.9607E+07	3.8219E+07	14
Ga0196617_10004222	3.5726E+08	3.1572E+08	3.6379E+08	1.854E+08	2.8015E+08	1.8977E+08	2.1677E+08	1.176E+08	1.4654E+08	2.1934E+08	1.4794E+08	2.0714E+08	1.68E+08	1.489E+08	1.4917E+08	1.6693E+08	2.1954E+08	1.8196E+08	1.6056E+08	2.4514E+08	3.8644E+08	1.6925E+08	1.3611E+08	1.4445E+08	34
Ga0196617_10004223	1186200	0	1446900	1432100	4467700	3625500	4378200	4579100	3283700	0	0	2166700	6649200	8215100	1.1716E+07	1684400	1575800	1653100	0	4361000	0	1951300	3156100	2627000	5
Ga0196617_10004224	3034400	4039500	3286100	5252600	6441600	0	0	0	0	1.0045E+07	0	3807300	0	0	0	2873300	3201200	0	6256800	3249200	8876400	0	0	0	2
Ga0196617_10004225	2.4802E+09	1.8007E+09	1.8929E+09	8.9245E+08	1.4711E+09	1.5944E+09	1.0552E+09	1.0772E+09	1.9749E+09	7.2964E+08	1.0707E+09	1.1058E+09	1.9627E+09	1.0603E+09	1.4892E+09	1.2009E+09	7.2968E+08	6.9161E+08	9.0068E+08	3.6537E+08	7.2329E+08	6.3505E+08	2.8576E+08	5.0907E+08	10
Ga0196617_10004226	9773600	1.6373E+07	8453200	7552800	1.3616E+07	6353100	5665000	4627400	8914300	3970600	5812700	3919100	4555300	2730100	3061200	3108700	2001000	4776800	2785700	4625200	2960800	2411000	3582400	4290900	17
Ga0196617_10004227	0	0	0	0	0	1606900	1995700	0	0	0	0	0	0	1903600	0	0	0	0	0	0	0	0	0	0	5
Ga0196617_10004228	9837100	1006100	793470	0	1162800	0	0	0	0	0	0	777660	0	0	0	580530	0	0	0	0	0	0	0	0	4
Ga0196617_10004229	0	848060	0	0	0	0	0	0	0	842610	0	0	0	0	0	542660	0	0	0	0	0	0	0	0	4
Ga0196617_10004230	1675100	2625900	2621100	507370	628830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283370	0	0	0	0	3
Ga0196617_10004231	1.3135E+07	1.2335E+07	9050000	1.4433E+07	2.4629E+07	1.5002E+07	2.9539E+07	2.3255E+07	2.1883E+07	1.6116E+07	1.7579E+07	1.7064E+07	2.8101E+07	2.2049E+07	1.3849E+07	2.0197E+07	1.8644E+07	8823600	5589700	6870400	1.9682E+07	1.1147E+07	6025800	1.1392E+07	16
Ga0196617_10004232	1.4597E+07	1.3704E+07	1.6262E+07	1.2746E+07	8327600	1.5997E+07	1.0529E+07	4781900	4171300	5161600	6455400	9700400	8198900	4232500	5104300	4753600	6814800	6424900	6984700	1.3798E+07	1.0565E+07	2859200	5848700	3188400	19
Ga0196617_10004234	3.4776E+07	3.0016E+07	1.8902E+07	1.7188E+07	1.9444E+07	1.8635E+07	1.2646E+07	6200200	7615700	8547300	7265300	1.089E+07	1.3864E+07	7040400	7851600	4517100	4588300	5574600	4287500	4995800	1.6812E+07	1818900	1401500	4819200	25
Ga0196617_10004235;Ga0196617_100001360	1.8457E+07	3.5164E+07	1.5631E+07	0	0	0	0	1.1817E+07	1.559E+07	6902900	1.4821E+07	1.3579E+07	0	0	0	0	0	0	0	0	0	0	0	0	3
Ga0196617_10004238	1.124E+08	1.5429E+08	5.9172E+07	9.2048E+07	1.2178E+08	1.1494E+08	7.546E+07	4.9995E+07	7.601E+07	5.7197E+07	1.2717E+08	1.0193E+08	8.6211E+07	1.1775E+08	1.2225E+08	1.1395E+08	1.3282E+08	1.1039E+08	1.6037E+08	1.897E+08	1.3207E+08	9.8965E+07	1.3991E+08	1.2228E+08	17
Ga0196617_10004239	758850	1371600	276660	0	0	0	0	0	0	212760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Ga0196617_1000424	1.4324E+07	9178700	7062300	1.0438E+07	9290800	8671400	8258800	7601200	1.8148E+07	6766600	5649400	9039300	1.184E+07	1.1465E+07	1.2971E+07	1.4993E+07	1.0403E+07	1.2805E+07	2.1203E+07	1.8099E+07	2.5646E+07	2.2126E+07	2.28E+07	1.8938E+07	9
Ga0196617_10004241	1.666E+08	2.1541E+08	1.1233E+08	5.9683E+07	1.1058E+08	8.5048E+07	5.2241E+07	3.8856E+07	4.9519E+07	6.7833E+07	4.7883E+07	6.3478E+07	5.2141E+07	2.8983E+07	3.3687E+07	8.7729E+07	3.8365E+07	5.1828E+07	6.8457E+07	7.5546E+07	1.036E+08	5.9356E+07	6.1853E+07	5.3593E+07	46
Ga0196617_10004242	6.8193E+07	1.9883E+08	6.1522E+07	7.686E+07	7.8247E+07	1.5383E+08	5.3202E+07	3.3684E+07	1.5466E+07	1.8597E+07	2614900	1710900	2.1244E+07	0	1.1889E+07	4.8379E+07	5911000	5282300	9464600	4.0527E+07	3066200	9069400	6272700	1.885E+07	7
Ga0196617_10004243	1.7351E+07	1.4832E+07	9780000	5217300	7493500	8774700	4002900	5255000	8053500	4722700	5203700	4260800	1.0242E+07	9563900	9225100	5998500	7584100	4811000	7552000	9064000	6987100	4705100	4335200	3257900	17
Ga0196617_10004245	1.4761E+07	1.6333E+07	1.2485E+07	5484900	1.0626E+07	6954300	5095500	7353300	4965000	9609000	1.0365E+07	8013600	7871600	4248600	6102900	6080100	4966700	6164100	7125300	1.5282E+07	8793100	1.0617E+07	7870800	8471500	14
Ga0196617_10004246	4.518E+07	1.5113E+07	2.8067E+07	3.6897E+07	3.9881E+07	5.1589E+07	3.1959E+07	2.9088E+07	2.7206E+07	1.3109E+07	1.3676E+07	3.5484E+07	3.9219E+07	4.0395E+07	4.0908E+07	1.7725E+07	2.1883E+07	4.3613E+07	1.7178E+07	3.2703E+07	5.7588E+07	2.2014E+07	1.8854E+07	3.1489E+07	7
Ga0196617_10004247	6.2357E+07	6.9793E+07	5.3963E+07	2.9784E+07	6.8472E+07	2.953E+07	3.3184E+07	1.9984E+07	3.4342E+07	4.1272E+07	2.8425E+07	5.0096E+07	4.4483E+07	3.0797E+07	2.0627E+07	5.2365E+07	3.4609E+07	4.5916E+07	4.555E+07	4.3937E+07	5.0422E+07	2.8535E+07	2.4638E+07	3.2676E+07	30
Ga0196617_10004248	3749200	6733900	9373300	3943500	7450100	2521100	5372900	3220700	5610000	4223400	5408200	6149500	1.0251E+07	2806900	8387200	7611000	3186400	7788300	4666100	4828200	4959000	6099300	2018800	6379000	4
Ga0196617_10004249	2.8443E+07	3.4874E+07	2.9969E+07	3.4349E+07	1.8499E+07	1.7622E+07	1.7175E+07	1.7318E+07	2.0687E+07	1.9476E+07	1.4633E+07	2.154E+07	1.611E+07	1.3918E+07	2.1356E+07	1.6673E+07	1.1734E+07	9273900	1.6113E+07	1.7291E+07	2.1941E+07	1.3296E+07	1.2837E+07	8811200	24
Ga0196617_1000425	1.965E+07	1.4583E+07	1.7565E+07	1.8969E+07	2.5776E+07	1.8276E+07	3.2495E+07	3.6691E+07	3.3688E+07	2.0324E+07	3.0699E+07	4.7821E+07	8.4433E+07	5.2454E+07	5.9306E+07	4.4129E+07	3.3291E+07	4.2828E+07	4.7628E+07	5.108E+07	3.6601E+07	7.5319E+07	5.6499E+07	6.5703E+07	21
Ga0196617_10004250	1.2674E+07	6784500	4304700	6877600	6528700	7322700	1.1561E+07	9789200	9270900	7635400	8679300	4181600	1.7155E+07	1.0954E+07	2.2587E+07	1.1403E+07	5896000	1.8538E+07	7574200	1.1609E+07	9205600	1.3821E+07	1.8459E+07	1.4417E+07	9
Ga0196617_10004251	3592700	8706400	6970800	5851700	1.0952E+07	4898700	1.1989E+07	5651700	8906500	1.349E+07	6325600	5376200	8138500	1.0499E+07	7892600	5366200	7283600	4902900	5992900	3848700	3652600	1.0007E+07	3692400	4643100	13
Ga0196617_10004253	1.3312E+07	1.4427E+07	1.0047E+07	6437600	5260900	4148400	4813000	3598800	2684100	8995600	2779700	3730300	2764400	4083700	3604400	8018700	4324400	5895400	6787100	4103500	9304000	4205400	3421200	3515000	15
Ga0196617_10004254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179160	0	0	0	0	2
Ga0196617_10004256;Ga0196617_1005212	3.6978E+07	3.4453E+07	3.736E+07	1.8143E+07	1.2383E+07	1.4111E+07	1.8735E+07	1.4685E+07	2.4443E+07	1.0682E+07	1.1923E+07	1.1513E+07	2.3745E+07	8007300	3.1639E+07	9485500	1.5759E+07	1.2386E+07	5505100	7927200	8363700	1.0051E+07	0	0	13
Ga0196617_10004257	6.1092E+08	5.7784E+08	4.2061E+08	4.2959E+08	2.982E+08	3.9515E+08	3.3976E+08	4.1349E+08	4.2602E+08	3.6037E+08	4.1906E+08	2.4595E+08	2.4078E+08	3.2094E+08	3.251E+08	3.3587E+08	6.1153E+08	8.3247E+08	3.9812E+08	6.9846E+08	6.4359E+08	4.8351E+08	2.4624E+08	2.4624E+08	27
Ga0196617_10004258	3.9905E+07	3.4028E+07	2.487E+07	7153800	1.0503E+07	1.0068E+07	6227600	2360800	1276700	1.5386E+07	2493400	6383000	5078300	3284400	2679000	3420400	4777200	1364800	1.1661E+07	1966200	1.3614E+07	2435600	4926600	4066700	11
Ga0196617_10004259	1.1119E+09	8.4066E+08	1.2235E+09	7.2693E+08	6.0889E+08	6.4229E+08	5.78E+08	4.9407E+08	4.4243E+08	3.5258E+08	3.1666E+08	4.5253E+08	3.1463E+08	2.3337E+08	1.5592E+08	5.4522E+08	3.4134E+08	3.821E+08	3.1045E+08	4.9232E+08	4.1901E+08	3.8163E+08	3.0908E+08	2.7724E+08	30
Ga0196617_1000426	3229500	3084900	3248800	3010600	3249000	3536200	4959100	5680400	4748500	6517500	3592400	3647200	2888300	3059200	3715000	2262200	1461800	3113600	2607900	3057600	6154200	5405800	5358500	3096200	8
Ga0196617_10004260	2.5437E+08	2.6875E+08	2.3071E+08	7.5151E+07	1.8648E+08	8.8528E+07	9.6812E+07	9.6376E+07	5.6732E+07	9.2258E+07	8.9767E+07	1.2907E+08	8.8163E+07	8.8274E+07	5.8218E+07	9.4908E+07	6.9611E+07	9.435E+07	6.2268E+07	5.234E+07	7.6502E+07	3.6904E+07	4.7101E+07	3.4234E+07	22
Ga0196617_10004263	7985600	8533300	6210600	5903400	5606700	8001200	1.0363E+07	1.7529E+07	1.3667E+07	1.6321E+07	1.1101E+07	2.3708E+07	1.374E+07	1.6951E+07	2.0933E+07	1.8835E+07	2.1043E+07	1.4262E+07	1.2832E+07	2.3242E+07	1.8584E+07	7609900	1.2033E+07	9201500	20
Ga0196617_10004264	0	2823400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ga0196617_10004265	879160	1469900	1521300	732280	1320900	1008800	3207800	3709400	5391400	2166500	1992400	4289500	5292100	2695300	6242000	1157900	2102200	2730100	3869500	1144300	1865700	5417500	2586400	2902200	4
Ga0196617_10004266	9819500	2424200	1354600	5028200	4395300	6834400	8485600	7408800	8775200	5823700	2159900	5229000	1.7839E+07	1.005E+07	1.3757E+07	7556100	1601400	7438000	8326900	1874900	1.1811E+07	3.0762E+07	1987700	3576200	7
Ga0196617_10004267	1.042E+07	1.4835E+07	3784900	1.4271E+07	1.1124E+07	1.6016E+07	1.1173E+07	7606300	1.0852E+07	4504000	6145400	1.146E+07	1.9573E+07	2.2182E+07	1.7262E+07	1.8752E+07	1.3953E+07	1.1659E+07	1.786E+07	1.5497E+07	1.3808E+07	2.1419E+07	2.5644E+07	2.362E+07	7
Ga0196617_10004268	1.1166E+07	2.9461E+07	1.5918E+07	7963800	1.2017E+07	4171600	1.0042E+07	5291100	4662100	1.0362E+07	7866500	7747000	3110200	4005400	4416200	1.7076E+07	8007900	3352500	7556100	8792300	1.9465E+07	1370600	4135400	6775700	21
Ga0196617_10004269	1742300	2136600	2471200	1810500	2338100	1655900	2708700	4982900	5698200	3983300	8433900	4015300	7496200	9167400	1.807E+07	5020500	3425500	8768800	1.2649E+07	7832300	9423000	9227700	6426900	8263700	13
Ga0196617_1000427	1.0225E+07	2.7403E+07	8179600	9261500	1.2978E+07	8805600	1.0293E+07	8395800	9670900	1.696E+07	8738800	1.2977E+07	1.0427E+07	7312000	0	7690100	5513500	9256700	7480300	1.1941E+07	9646700	0	0	0	13
Ga0196617_10004270	8121300	6338900	9839400	8005000	1.1239E+07	0	7068500	6665500	6682800	6918200	1.4076E+07	1.3395E+07	0	8837300	8720900	6483700	5619700	5187700	7633900	6862500	0	6942600	0	0	6
Ga0196617_10004273	0	0	0	0	64467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ga0196617_10004278	748440	395510	380430	654290	629810	638720	0	556350	440680	298470	0	0	548490	0	436100	0	0	0	0	0	0	0	0	0	2
Ga0196617_10004279	1.0388E+08	1.1032E+08	9.1465E+07	4.6921E+07	6.0169E+07	5.3222E+07	3.7434E+07	4.8054E+07	6.047E+07	7.5121E+07	2.9829E+07	3.6598E+07	1.0056E+08	6.3171E+07	5.1646E+07	4.3253E+07	2.3749E+07	4.9149E+07	6.0352E+07	9.3957E+07	5.1025E+07	7.4706E+07	5.3711E+07	6.6835E+07	11
Ga0196617_1000428	2579600	4385100	3844000	2094600	1246400	2013900	1573500	4803500	6233300	4216300	3715200	3296100	4307100	6617900	1.2724E+07	4766800	5192700	6003700	4852800	1.0407E+07	4908700	2825700	1816900	2512000	9
Ga0196617_10004280	4.4814E+07	3.0893E+07	2.7938E+07	5154300	1.439E+07	8335500	2689800	6233100	3727500	8312300	2442800	8601300	1939000	2187700	1054800	3105000	3204800	1939600	1708700	4584200	1.0307E+07	887370	1846500	1240500	20
Ga0196617_10004281	2404700	1079500	2791500	0	0	0	1192500	954690	982720	0	1353100	0	0	0	0	0	0	0	0	0	1255000	0	0	0	3
Ga0196617_10004282	1.0666E+07	6377600	5720100	3655100	5102700	5718900	4366800	2054700	3409800	0	0	1969200	0	0	0	1116800	693280	635030	1264300	0	0	0	1063500	1120300	7
Ga0196617_10004283	1002400	3829600	3723500	1105300	1442000	1148000	1662300	633440	1019000	984600	991370	1480300	0	1724500	1222600	1127800	0	0	847490	0	2080500	0	0	0	6
Ga0196617_10004284	1.5857E+07	1.965E+07	2.3105E+07	1.1219E+07	9007200	8552400	1.4906E+07	5891100	1.1128E+07	6068300	7034800	4746300	3.5238E+07	1.3861E+07	9013800	1.2545E+07	6215400	6238000	4642100	1.1866E+07	5363700	3.4557E+07	9245800	3.7209E+07	10
Ga0196617_10004285	3.9566E+07	1.2319E+07	6595000	2.5889E+07	4.6289E+07	2.9241E+07	2.5917E+07	1.4191E+07	2.6401E+07	7018000	2.7504E+07	3.4248E+07	8.468E+07	4.8473E+07	5.6491E+07	2.3391E+07	1.9617E+07	1.0224E+07	7416100	9319800	0	1.2325E+07	1.0112E+07	2.6513E+07	5
Ga0196617_10004286	1.8426E+07	1.6456E+07	1.8529E+07	7706600	1.1032E+07	6571200	6294800	7003200	8904000	9242300	4218000	9420100	7376500	8949400	1.4901E+07	5826800	4998500	9113900	4366100	1.7103E+07	1.5675E+07	1.1743E+07	1.0227E+07	7576200	16
Ga0196617_10004290	1416400	2273700	987420	0	2489200	1013900	1338200	0	0	853380	0	1132600	0	0	0	473170	0	0	0	0	0	0	0	0	5
Ga0196617_10004292;Ga0196617_10000864	1834400	3580100	2521000	1144500	1424700	1748600	0	0	0	793030	0	481020	0	0	0	0	0	0	1021700	0	590930	1894700	0	0	8
Ga0196617_10004293	0	766740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ga0196617_10004294;Ga0196617_1032412	1.2403E+07	9790400	7208600	3027500	4251500	1331300	859730	1433100	1212800	812770	502140	965660	0	0	0	590510	1851100	0	1018500	662680	956430	1081400	2347000	903200	10
Ga0196617_10004295	1.5908E+07	1.4569E+07	1.0419E+07	2033000	2334700	2385500	644690	1656900	1645200	1967500	2621900	1801800	0	2139900	0	1657600	1866500	2477200	2143900	2966900	2122000	0	1382500	1680400	15
Ga0196617_10004297	1497000	0	0	2086900	1203100	3196700	2603700	1709900	2054000	7132000	0	0	2622600	2362700	2498000	740540	931260	0	0	0	0	0	0	2685900	3
Ga0196617_1000441;Ga0196617_1161561;Ga0196617_1082691;Ga0196617_1122151;Ga0196617_1156601;Ga0196617_1155941	2510000	1.1163E+07	6122700	1.8161E+07	2.974E+07	1.884E+07	2.6798E+07	2.8548E+07	1.4756E+07	3.164E+07	8053500	6675200	3.1353E+07	2.8647E+07	1.0418E+07	1.0063E+07	2119600	7395900	6987900	1.1102E+07	1.1139E+07	1.3316E+07	6408100	6057900	20
Ga0196617_10004410	2814300	0	0	687690	0	0	1911100	1980500	0	1240900	1600600	3914500	0	0	0	1187500	0	0	0	1320800	0	0	0	0	2
Ga0196617_10004411	6095200	2019500	1535100	5633600	8376100	5786000	4520600	1552400	1608400	3387500	1854500	1918600	2924600	3225200	1837600	938830	1261900	943630	1944000	616030	1804300	0	0	0	11
Ga0196617_10004412;Ga0196617_1127411;Ga0196617_1146071	3.5257E+07	2.3642E+07	1.5918E+07	4.8907E+07	5.8702E+07	4.9654E+07	6.2879E+07	7.4462E+07	5.6661E+07	8.2019E+07	5.0248E+07	6.8344E+07	7.1942E+07	6.3757E+07	2.9753E+07	3.8555E+07	2.5108E+07	1.9076E+07	1.7293E+07	8938400	3.064E+07	4827300	1.1453E+07	8105200	26
Ga0196617_10004413	706590	796340	855280	3684300	3641500	1775400	2270900	2899300	4756300	3996200	7163900	2160900	1360500	1114000	1526800	0	0	0	0	0	0	0	1320000	0	5
Ga0196617_10004414	1889600	1175300	2545700	9093500	5744300	6487800	3470100	7832700	4515200	2600800	5429200	4518200	2526300	1317100	0	4621800	0	2820500	0	2654800	0	0	0	1200000	8
Ga0196617_10004417	1.9265E+07	8733900	5514700	1.3769E+07	1.5037E+07	9076400	1.4618E+07	2.0454E+07	1.6187E+07	2.7168E+07	2.1287E+07	1.8876E+07	1.4499E+07	4575100	8471500	2733800	2048500	2992600	2077800	1952000	581450	0	0	0	10
Ga0196617_10004418	5.5667E+07	4.212E+07	2.221E+07	1.1E+08	1.385E+08	1.3796E+08	1.4989E+08	1.8854E+08	1.5604E+08	1.7622E+08	1.1603E+08	1.367E+08	1.7272E+08	1.2102E+08	1.0624E+08	4.0102E+07	5.4064E+07	4.4032E+07	3.7346E+07	3.7772E+07	5925300	6771700	7082700	8921800	21
Ga0196617_10004419	1.3236E+07	1.0435E+07	3435600	5.2906E+07	2.7468E+07	4.4409E+07	4.8389E+07	6.3637E+07	6.8372E+07	5.0493E+07	3.7787E+07	3.6972E+07	1.8351E+07	1.5212E+07	2.5431E+07	1752700	1520500	1919700	870230	2133000	678650	328230	429140	338100	24
Ga0196617_1000442	8.5077E+07	2.7611E+07	1.4043E+07	1.7967E+08	1.1723E+08	1.0785E+08	1.2306E+08	1.1653E+08	1.932E+08	7.9894E+07	7.1035E+07	1.5231E+08	1.3708E+08	1.3861E+08	1.0738E+08	1.5385E+08	8.2444E+07	1.8737E+08	1.5357E+08	1.7472E+08	1.4419E+08	1.4073E+08	1.185E+08	1.2105E+08	18
Ga0196617_10004421	574250	703110	0	1253000	1229700	1153800	1091800	3134100	986440	860830	961500	4276400	0	1166200	0	1088400	0	810040	0	711840	547790	0	0	0	5
Ga0196617_10004423	6053300	5628900	7180400	1.0197E+07	6048800	1.0993E+07	8684300	7639500	3931200	1.0195E+07	5583700	1.0313E+07	5792600	7759700	5337900	5096700	5936200	5204400	3841600	5004100	3005600	3118900	2345600	2620900	13
Ga0196617_10004427	9111300	5331700	3161700	1.3796E+07	1.6543E+07	1.2553E+07	1.7558E+07	1.4552E+07	8613000	1.8058E+07	1.1478E+07	2.0018E+07	3.7799E+07	2.5992E+07	1.9784E+07	2.2858E+07	2.1132E+07	1.615E+07	1.445E+07	9381500	8231700	1.1595E+07	8705400	8331300	21
Ga0196617_10004428	0	0	0	0	0	0	0	0	792140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
