ORF,protein,protein_corrected,RNA,protein2RNA,protein2RNA_corrected
IPI00459033.2,59926.35,202017.43,,,
IPI00125382.2;IPI00828463.1,59896.27,201960.86,,,
IPI00122348.5,59866.63,201905.1,11.62,5152.0335628227,17375.6540447504
IPI00133532.1,59860.44,201893.45,18.51,3233.9513776337,10907.263641275
IPI00311904.3,59633.44,201466,18.87,3160.2246952835,10676.5235824059
IPI00109808.1;IPI00880772.1,59529.95,201270.88,28.4,2096.125,7087.0028169014
IPI00224697.1;IPI00654180.1;IPI00356872.3,59460.06,201139.03,7.76,7662.3788659794,25919.9780927835
IPI00165731.3;IPI00895120.1;IPI00762114.3;IPI00895254.1;IPI00895547.1,59404.2,201033.59,17.39,3415.9976998275,11560.2984473836
IPI00132747.5,59360.42,200950.93,29.49,2012.8999660902,6814.2058324856
IPI00131887.3,59348.42,200928.26,4.79,12390.0668058455,41947.4446764092
IPI00123651.1;IPI00889817.1;IPI00227749.1;IPI00153728.1,59168.47,200588.17,12.63,4684.7561361837,15881.88202692
IPI00109311.3;IPI00857737.1,58994.94,200259.78,12.75,4627.0541176471,15706.6494117647
IPI00153798.1,58978.05,200227.8,12.09,4878.2506203474,16561.4392059553
IPI00113243.1,58927.42,200131.89,45.34,1299.6784296427,4414.0249228055
IPI00222538.2;IPI00894878.1,58849.81,199984.81,,,
IPI00313525.5;IPI00922978.1;IPI00464142.2;IPI00752299.1,58842.12,199970.23,13.27,4434.2215523738,15069.3466465712
IPI00343941.3;IPI00857201.1;IPI00856214.1;IPI00857026.1,58840.54,199967.24,23.13,2543.9057501081,8645.3627323822
IPI00310646.5;IPI00652145.1,58705.35,199710.81,13.94,4211.287661406,14326.4569583931
IPI00137433.3;IPI00223396.1,58676.08,199655.25,11.75,4993.7089361702,16991.9361702128
IPI00315325.1;IPI00515156.1;IPI00885780.1,58624.74,199557.78,9.5,6171.0252631579,21006.0821052632
IPI00340860.5;IPI00831552.1,58564.74,199443.82,23.11,2534.1730852445,8630.1955863263
IPI00460668.2;IPI00875789.1;IPI00955124.1;IPI00654251.1,58457.3,199239.62,46.67,1252.5669595029,4269.1154917506
IPI00848519.1;IPI00137296.1;IPI00754783.1,58454.81,199234.89,,,
IPI00118230.1,58433.16,199193.72,22.95,2546.1071895425,8679.4649237473
IPI00124614.1,58384.15,199100.5,7.09,8234.7179125529,28081.8758815233
IPI00467383.2,58230.14,198807.35,33.26,1750.7558628984,5977.3707155743
IPI00126191.5;IPI00113886.1,58092.68,198545.4,12.63,4599.5787806809,15720.1425178147
IPI00133032.5;IPI00750883.1,58091.21,198542.6,9.76,5951.9682377049,20342.4795081967
IPI00321581.4,58057.9,198479.08,5.07,11451.2623274162,39147.7475345168
IPI00458717.3;IPI00273914.2;IPI00649871.3;IPI00655015.1;IPI00655142.1,58020.67,198408.07,16.12,3599.297146402,12308.1929280397
IPI00625954.4,57971.84,198314.91,41.03,1412.913477943,4833.4123811845
IPI00314755.5,57917.97,198212.08,105.02,551.4946676823,1887.3745953152
IPI00230098.2;IPI00280867.2,57898.49,198174.89,9.88,5860.1710526316,20058.1872469636
IPI00229008.2,57770.83,197931.01,,,
IPI00221951.5,57765.55,197920.92,16.26,3552.6168511685,12172.258302583
IPI00128991.6,57730.75,197854.4,15.09,3825.7620941021,13111.6235917826
IPI00341322.3;IPI00648743.1,57675.74,197749.2,47.28,1219.8760575296,4182.5126903553
IPI00129535.1;IPI00758290.1,57635.61,197672.44,10.81,5331.6938020352,18286.0721554117
IPI00454104.1;IPI00129388.1;IPI00474285.1;IPI00454106.1;IPI00830775.1,57628.74,197659.29,35.11,1641.376815722,5629.714896041
IPI00118372.1;IPI00404693.1,57588.57,197582.42,2.49,23127.9397590361,79350.3694779117
IPI00321858.1,57536.08,197481.94,25.86,2224.9064191802,7636.5792730085
IPI00318595.1;IPI00556880.1,57492.48,197398.44,10.16,5658.7086614173,19428.9803149606
IPI00460063.2;IPI00856823.1;IPI00856185.1,57446.1,197309.59,16.37,3509.230299328,12053.1209529627
IPI00229286.5;IPI00895313.1,57266.14,196964.54,17.22,3325.5598141696,11438.1265969803
IPI00749669.1;IPI00331076.4;IPI00118291.3;IPI00808355.1,57199,196835.68,16.7,3425.0898203593,11786.5676646707
IPI00113203.4,57198.16,196834.07,33.85,1689.753618907,5814.8912850812
IPI00387234.2;IPI00857798.1;IPI00856867.1,56825.51,196117.65,30.47,1864.965868067,6436.4177879882
IPI00123157.1;IPI00752534.1;IPI00228759.1,56814.12,196095.72,76.37,743.9324342019,2567.7061673432
IPI00131021.2;IPI00620272.4,56787.92,196045.27,16.55,3431.2942598187,11845.6356495468
IPI00663957.1,56754.82,195981.52,,,
IPI00130200.6;IPI00753418.2;IPI00463206.5;IPI00169767.6;IPI00757694.1;IPI00607019.1;IPI00776198.1,56684.72,195846.44,52.48,1080.1204268293,3731.8300304878
IPI00556808.6;IPI00856745.1;IPI00120860.1,56671.54,195821.04,,,
IPI00132330.1,56528.45,195545.07,24.81,2278.4542523176,7881.7037484885
IPI00221889.2,56456.16,195405.53,12.68,4452.3785488959,15410.5307570978
IPI00331541.5,56396.03,195289.4,,,
IPI00848443.1;IPI00474783.4;IPI00649984.1;IPI00649000.1;IPI00649902.1,56165.27,194843.23,15.41,3644.7287475665,12643.9474367294
IPI00457756.2;IPI00876315.1,55883.84,194297.98,18.7,2988.4406417112,10390.2663101604
IPI00421220.1;IPI00416065.1,55842.51,194217.81,,,
IPI00676130.1;IPI00453829.3;IPI00675092.1,55806.73,194148.38,3.76,14842.2154255319,51635.2074468085
IPI00453798.3,55550.71,193651.01,,,
IPI00653398.1;IPI00754549.2;IPI00943403.1;IPI00403266.3;IPI00943452.1,55467.2,193488.55,30.55,1815.620294599,6333.504091653
IPI00137731.5;IPI00749697.1;IPI00758146.1,55369.03,193297.44,10.94,5061.1544789762,17668.8702010969
IPI00115866.3;IPI00880581.3;IPI00882305.1;IPI00850155.1,55278.66,193121.38,16.27,3397.582052858,11869.7836508912
IPI00317932.4;IPI00857684.1;IPI00856672.1;IPI00857509.1,55238.64,193043.37,22.09,2500.6174739701,8738.948392938
IPI00420806.3;IPI00928256.1,55123.83,192819.44,13.66,4035.4194729136,14115.6251830161
IPI00169958.3;IPI00880519.1,54963.36,192506.11,13.35,4117.1056179775,14419.9333333333
IPI00377642.2,54962.68,192504.78,118.37,464.3294753738,1626.2970347216
IPI00471256.2,54728.86,192047.5,5.71,9584.7390542907,33633.5376532399
IPI00115450.1;IPI00125849.1;IPI00918501.1,54531.4,191660.66,39.35,1385.8043202033,4870.6648030496
IPI00129014.1,54481.06,191561.93,22.72,2397.9339788732,8431.4229753521
IPI00119680.3;IPI00830310.1;IPI00229147.3;IPI00126297.3,54460.31,191521.23,26.16,2081.8161314985,7321.1479357798
IPI00458894.4;IPI00875495.2;IPI00918605.1;IPI00845856.1;IPI00918205.1;IPI00918448.1;IPI00918281.1,54383.85,191371.18,8.13,6689.2804428044,23538.8905289053
IPI00116929.1;IPI00473978.1;IPI00656237.1,54300.29,191207.1,6.89,7881.0290275762,27751.3933236575
IPI00856427.1;IPI00751251.3;IPI00858279.1,54258.16,191124.33,29.28,1853.0792349727,6527.4702868853
IPI00137601.2;IPI00461183.1,54142.72,190897.37,4.97,10893.907444668,38409.9336016097
IPI00134426.1;IPI00347796.2,54072.86,190759.93,12.23,4421.3295175797,15597.7048242028
IPI00417140.1;IPI00262117.1;IPI00625377.2;IPI00858263.1;IPI00831336.1,53975.38,190568.01,17.21,3136.2800697269,11073.0976176642
IPI00111320.7;IPI00756736.2;IPI00856993.1;IPI00885544.1;IPI00885474.1,53970.67,190558.73,14.45,3734.9944636678,13187.4553633218
IPI00903356.1;IPI00457575.2;IPI00828431.4;IPI00830698.1;IPI00607981.1;IPI00828382.3;IPI00828606.2,53786.67,190196.04,13.9,3869.5446043166,13683.1683453237
IPI00895361.1;IPI00895482.1;IPI00348248.4;IPI00895548.1,53786.33,190195.37,5.95,9039.7193277311,31965.6084033613
IPI00130554.1;IPI00400077.1,53757.64,190138.77,13.04,4122.518404908,14581.1940184049
IPI00758413.2,53725.26,190074.87,,,
IPI00230420.5;IPI00830282.1,53719.21,190062.93,7.55,7115.1271523179,25173.898013245
IPI00121431.4;IPI00808497.1;IPI00830895.1,53596.78,189821.17,22.32,2401.2894265233,8504.5327060932
IPI00111286.1,53548.22,189725.21,,,
IPI00274131.7;IPI00874379.1;IPI00849327.1;IPI00858207.1,53457.75,189546.32,14.38,3717.5069541029,13181.2461752434
IPI00453849.3;IPI00317422.2;IPI00785256.1;IPI00856749.1,53438.92,189509.08,4.72,11321.8050847458,40150.2288135593
IPI00108041.1;IPI00331631.1;IPI00464163.10,53361.32,189355.51,15.48,3447.1136950904,12232.2680878553
IPI00262605.6;IPI00649359.1,53241.2,189117.61,26.86,1982.1742367833,7040.8641102011
IPI00319956.1,53235.36,189106.03,15.65,3401.6204472844,12083.4523961661
IPI00112189.2;IPI00890111.1,53213.69,189063.09,37.79,1408.142101085,5002.9925906325
IPI00136178.1;IPI00556867.3,53047.76,188733.99,164.2,323.0679658953,1149.4152862363
IPI00120110.3;IPI00228054.2,52996.32,188631.87,5.4,9814.1333333333,34931.8277777778
IPI00267629.1;IPI00458439.1,52928.32,188496.81,18.2,2908.1494505495,10356.9675824176
IPI00221688.2;IPI00761674.2,52873.67,188388.21,4.28,12353.6612149533,44015.9369158878
IPI00110351.1;IPI00856607.1,52800.72,188243.17,7.87,6709.1130876747,23919.081321474
IPI00828891.1;IPI00339428.9;IPI00816914.1;IPI00336736.5;IPI00648548.2,52794.63,188231.06,14.4,3666.29375,13071.6013888889
IPI00124127.1;IPI00831209.1,52755.01,188152.25,5.52,9557.0670289855,34085.5525362319
IPI00408103.1;IPI00112072.1;IPI00754923.1;IPI00228576.1;IPI00461961.3;IPI00228575.1,52673.35,187989.72,13.04,4039.3673312884,14416.3895705521
IPI00453860.2,52522.21,187688.62,23.64,2221.7516920474,7939.4509306261
IPI00464166.2;IPI00606716.2,52470.01,187584.53,26.26,1998.0963442498,7143.3560548363
IPI00128561.1;IPI00654349.3,52312.06,187269.31,11.3,4629.385840708,16572.5053097345
IPI00380339.1;IPI00649105.1;IPI00608050.1;IPI00894784.1,52289.48,187224.21,29.13,1795.0387916238,6427.1956745623
IPI00131895.4;IPI00831554.1;IPI00882024.1;IPI00944685.1;IPI00754751.2,52274.8,187194.89,13.82,3782.5470332851,13545.2163531114
IPI00339885.2,52183.38,187012.19,128.04,407.5552952202,1460.5763042799
IPI00230649.1;IPI00929878.1;IPI00114396.1,52099.74,186844.92,44.56,1169.2042190305,4193.1086175943
IPI00308852.4;IPI00222828.2;IPI00222829.2;IPI00652528.2;IPI00857543.1;IPI00918725.1;IPI00918307.1;IPI00918643.1;IPI00918892.1,52008.85,186663.01,18.59,2797.6788596019,10041.0441097364
IPI00113812.1;IPI00928513.1,51979.76,186604.76,68.53,758.4964249234,2722.9645410769
IPI00880741.1;IPI00881708.1;IPI00110404.1;IPI00606576.2;IPI00881567.1;IPI00881397.1;IPI00881463.1;IPI00626423.2;IPI00349698.5,51973.93,186593.09,12.69,4095.6603624902,14703.9472025217
IPI00453707.2;,51924.77,186494.61,19.24,2698.7926195426,9693.0670478171
IPI00881456.1;IPI00109419.1;IPI00857995.1,51884.31,186413.53,13.6,3815.0227941177,13706.8772058824
IPI00133119.1,51871.52,186387.9,,,
IPI00881462.1;IPI00110716.1;IPI00119501.1;IPI00667065.1;IPI00116897.1;IPI00880541.1;IPI00882266.1,51836.26,186317.21,24.37,2127.052113254,7645.3512515388
IPI00875717.2;IPI00880314.1;IPI00331497.9;IPI00751005.2;IPI00928138.1;IPI00885682.1;IPI00874382.1,51819.82,186284.24,19.69,2631.7836465211,9460.8552564754
IPI00387545.1;IPI00881003.1,51633.13,185909.55,34.91,1479.0355199083,5325.3953022057
IPI00116247.1,51605.21,185853.47,6.51,7927.0675883257,28548.9201228879
IPI00314507.6;IPI00856847.1;IPI00650041.1;IPI00458689.1,51535.01,185712.39,12.8,4026.17265625,14508.78046875
IPI00459331.2;IPI00850958.1;IPI00757931.1,51448.96,185539.34,24.43,2105.9746213672,7594.7335243553
IPI00169469.1;IPI00849768.1,51322.4,185284.59,,,
IPI00121834.1,51272.75,185184.58,2.86,17927.534965035,64749.8531468531
IPI00113134.1;IPI00460846.1;IPI00459288.1,51227.94,185094.27,,,
IPI00469994.2,51122.35,184881.35,29.96,1706.3534712951,6170.9395861148
IPI00229310.1;IPI00350411.3,51112.47,184861.42,52.89,966.3919455474,3495.2055208924
IPI00653196.1,51098.15,184832.52,,,
IPI00229600.2;IPI00844664.1;IPI00655098.1,50980.24,184594.47,22.54,2261.7675244011,8189.6393078971
IPI00135628.2,50928.04,184489.01,17.92,2841.9665178572,10295.1456473214
IPI00124057.2;IPI00918400.1,50861.78,184355.07,35.85,1418.7386331939,5142.4008368201
IPI00132895.1;IPI00474272.3;IPI00856299.2,50783.29,184196.31,17.94,2830.7296544036,10267.3528428094
IPI00133122.3,50768.99,184167.37,11.41,4449.5170902717,16140.8737949167
IPI00122362.1,50657.98,183942.62,10.72,4725.5578358209,17158.8264925373
IPI00626909.1;,50630.34,183886.62,18.16,2788.0143171806,10125.9151982379
IPI00462502.3;IPI00876170.1,50577.22,183778.97,19.67,2571.2872394509,9343.1098118963
IPI00119261.3,50513.4,183649.57,9.04,5587.7654867257,20315.217920354
IPI00110705.1;IPI00650054.1;IPI00919272.1,50485.33,183592.63,5.19,9727.4238921002,35374.3025048169
IPI00224733.3,50431.63,183483.67,,,
IPI00134398.6,50222.5,183058.83,20.35,2467.9361179361,8995.5199017199
IPI00664886.2;IPI00348717.6;IPI00880568.1;IPI00919091.1;IPI00857490.1;IPI00830171.1;IPI00919174.1,50208.63,183030.62,10.97,4576.903372835,16684.6508659982
IPI00109335.1;IPI00885910.1,50203.71,183020.62,21.44,2341.5909514925,8536.4095149254
IPI00169537.4,50192.23,182997.27,10.77,4660.374187558,16991.3899721448
IPI00459626.2;IPI00918694.1,50185.19,182982.95,6.72,7468.0342261905,27229.6056547619
IPI00153266.1;IPI00653905.3;IPI00850402.1;IPI00830434.1,50153.36,182918.2,13.27,3779.4544084401,13784.3406179352
IPI00119079.6;IPI00108924.2;IPI00858036.1,50144.58,182900.33,6.12,8193.5588235294,29885.6748366013
IPI00750061.1;IPI00125319.1,50105.06,182819.91,7.04,7117.1960227273,25968.7372159091
IPI00229990.7;IPI00903368.1,50071.5,182751.59,16.62,3012.725631769,10995.8838748496
IPI00123487.3;IPI00857547.1,50068.38,182745.23,29.32,1707.6527967258,6232.784106412
IPI00126204.3;IPI00857926.1;IPI00853826.1,50013.77,182634.01,33.43,1496.0744839964,5463.1770864493
IPI00320636.3;IPI00461924.1,50012.51,182631.45,26.42,1892.9791824376,6912.6211203634
IPI00353796.4;IPI00162940.2,49926.18,182455.52,21.19,2356.1198678622,8610.4539877301
IPI00172197.2,49773.49,182144.02,29.2,1704.5715753425,6237.8089041096
IPI00467104.2,49720.32,182035.45,20.76,2395.0057803468,8768.566955684
IPI00126176.3,49668.69,181929.98,,,
IPI00118360.1;IPI00283868.4,49474.69,181533.23,14.52,3407.3477961433,12502.2885674931
IPI00761856.2;IPI00123006.4;IPI00830705.1;IPI00830991.1;IPI00830890.1;IPI00830791.1;IPI00918315.1;IPI00831225.1;IPI00831123.1,49356.65,181291.49,17.33,2848.0467397577,10461.1361800346
IPI00162942.1,49244.03,181060.61,26.53,1856.1639653223,6824.7497173012
IPI00828514.1;IPI00130390.5;IPI00554992.2,49194.69,180959.38,7.83,6282.846743295,23111.0319284802
IPI00762435.2;IPI00322097.6,49191.05,180951.91,6.3,7808.1031746032,28722.5253968254
IPI00310669.3,49129.31,180825.18,8.62,5699.4559164733,20977.3990719258
IPI00221569.1,49084.02,180732.17,,,
IPI00761607.1;IPI00111166.7;IPI00651981.2;IPI00133002.1;IPI00919042.1,49080.23,180724.39,4.84,10140.5433884298,37339.75
IPI00223621.1,49010.97,180582.07,17.6,2784.7142045455,10260.3448863636
IPI00118834.1,48970.75,180499.39,74.09,660.9630179511,2436.2179781347
IPI00125508.1,48951.86,180460.54,68.7,712.5452692868,2626.7909752547
IPI00120937.1;IPI00605842.1;IPI00856837.1;IPI00857447.1;IPI00153355.2,48943.74,180443.84,16.79,2915.0530077427,10747.1018463371
IPI00129471.3;IPI00875998.1;IPI00849273.1,48911.17,180376.85,13.21,3702.58667676,13654.5685087055
IPI00123349.2,48852.02,180255.13,6.67,7324.1409295352,27024.7571214393
IPI00938528.1;IPI00330367.5,48823.25,180195.9,6.67,7319.8275862069,27015.8770614693
IPI00125076.4,48808.8,180166.15,,,
IPI00330263.3;IPI00755907.1,48729.55,180002.9,14.48,3365.3004143646,12431.1395027624
IPI00228978.2;IPI00554923.1;IPI00555094.1;IPI00918788.1,48716.48,179975.96,14.27,3413.9088997898,12612.1906096706
IPI00136655.1;IPI00938462.1,48602.69,179741.33,4.93,9858.5578093306,36458.6876267748
IPI00230084.5;IPI00890092.1,48595.88,179727.28,6.71,7242.3070044709,26784.9895678092
IPI00874743.1;IPI00453830.2;IPI00752927.1;IPI00458059.1,48563.74,179660.96,20.05,2422.131670823,8960.6463840399
IPI00223818.2;IPI00756601.2,48516.18,179562.79,10.68,4542.7134831461,16812.9953183521
IPI00229538.3;IPI00113686.2;IPI00229535.2;IPI00395163.1;IPI00761775.1;IPI00229536.4;IPI00876528.1;IPI00849451.1,48496.43,179522.01,22.1,2194.4085972851,8123.1678733032
IPI00128615.1;IPI00453989.1,48461.15,179449.14,23.45,2066.5735607676,7652.4153518124
IPI00336807.4;IPI00845769.1;IPI00343451.1;IPI00918515.1,48415.97,179355.79,,,
IPI00320303.1,48333.37,179185.03,,,
IPI00153809.1,48321.4,179160.28,21.15,2284.6997635934,8470.9352245863
IPI00319111.3;IPI00831418.1;IPI00830621.1,48281.18,179077.07,35.34,1366.1907187323,5067.2628749293
IPI00278153.5;IPI00876119.1,48208.7,178927.05,16.83,2864.4503862151,10631.4349376114
IPI00275512.1,48206.17,178921.82,12.41,3884.4617244158,14417.5519742143
IPI00131488.3;IPI00753748.1;IPI00652221.1;IPI00554907.2,48131.36,178766.87,7.8,6170.6871794872,22918.8294871795
IPI00131850.3;IPI00454108.3,48111.75,178726.23,19.92,2415.2484939759,8972.2003012048
IPI00856974.1;IPI00114237.1,48055.88,178610.42,25.09,1915.3399760861,7118.7891590275
IPI00229571.1;IPI00556695.1;IPI00473550.1,47929.12,178347.45,19.61,2444.1162672106,9094.7195308516
IPI00331577.5,47882.66,178250.98,40.08,1194.6771457086,4447.379740519
IPI00458057.3;IPI00856859.1,47729.78,177933.27,12.6,3788.0777777778,14121.6880952381
IPI00113798.2;IPI00622270.1;IPI00894927.1;IPI00895074.1;IPI00894609.1;IPI00125635.1,47635.13,177736.35,7.77,6130.6473616474,22874.6911196911
IPI00137668.1;IPI00458262.2,47619.72,177704.27,24.51,1942.8690330477,7250.2762137903
IPI00221767.1;IPI00652720.1,47589.51,177641.37,27.49,1731.1571480538,6462.0360130957
IPI00761756.1;IPI00399840.2;IPI00115595.1,47569.8,177600.33,11.32,4202.2791519435,15689.0750883392
IPI00330329.3,47485.68,177425.06,10.38,4574.7283236994,17092.9730250482
IPI00111113.6;IPI00649667.3;IPI00944005.1;IPI00649530.1;IPI00606477.4;IPI00675013.1,47483.43,177420.37,17.22,2757.4581881533,10303.1573751452
IPI00471157.2,47477.68,177408.38,,,
IPI00850851.1,47400.49,177247.42,15.71,3017.2176957352,11282.4583068109
IPI00320543.5;IPI00856982.1;IPI00453497.1;IPI00885858.1;IPI00857878.1;IPI00856422.1;IPI00858131.3,47397.58,177241.35,20.12,2355.7445328032,8809.2122266402
IPI00322492.3;IPI00742310.4;IPI00875852.1;IPI00515199.1;IPI00515527.1,47361.18,177165.41,100.15,472.9024463305,1769.0005991014
IPI00128920.1;IPI00463175.1,47325.23,177090.37,13.1,3612.6129770992,13518.3488549618
IPI00895496.1;IPI00894776.1;IPI00222809.1;IPI00624765.3;IPI00894599.1;IPI00649636.1,47254.62,176942.93,14.25,3316.1136842105,12417.0477192982
IPI00111784.1;IPI00473469.1,47235.58,176903.15,14.1,3350.0411347518,12546.3226950355
IPI00108254.3;IPI00894634.1,47212.24,176854.39,15.1,3126.638410596,11712.2112582781
IPI00128880.3;IPI00881788.1;IPI00881124.1;IPI00463869.1,47181.55,176790.24,21.32,2213.0182926829,8292.225140713
IPI00118948.3;IPI00387549.3,47173.49,176773.4,10.45,4514.209569378,16916.1148325359
IPI00221714.1,47103.67,176627.39,16.72,2817.2051435407,10563.8391148325
IPI00261239.6;IPI00880994.1,47102.24,176624.4,31.36,1501.9846938776,5632.1556122449
IPI00944702.1;IPI00227290.3;IPI00876530.1,47011.46,176434.42,10.6,4435.0433962264,16644.7566037736
IPI00403909.2;IPI00762866.1,46945.39,176296.05,7.9,5942.4544303798,22315.9556962025
IPI00330624.2,46944.85,176294.92,19.35,2426.0904392765,9110.8485788114
IPI00132314.1;IPI00654387.4;IPI00857292.1,46822.77,176039.03,52.33,894.7596025225,3364.0173896427
IPI00471226.2,46749.96,175886.26,4.57,10229.750547046,38487.1466083151
IPI00153778.5,46749.76,175885.85,6.17,7576.9465153971,28506.6207455429
IPI00113576.2;IPI00380228.5;,46725.53,175834.99,36.45,1281.9075445816,4824.00521262
IPI00785218.2;IPI00353010.1,46699.73,175780.82,36.64,1274.5559497817,4797.5114628821
IPI00875792.1;,46684.52,175748.88,,,
IPI00109613.1,46657.46,175692.04,5.33,8753.7448405253,32962.8592870544
IPI00761611.3;IPI00889276.1;IPI00889319.1;IPI00115856.1;IPI00845745.1;IPI00464154.3;IPI00889205.1;IPI00889251.1;IPI00867801.1;IPI00889223.1,46588.2,175546.5,,,
IPI00719971.2;IPI00122858.1;IPI00720007.1;IPI00720066.1,46425.87,175205.02,21.59,2150.3413617416,8115.1005094951
IPI00663460.3;IPI00754309.2;IPI00468223.3;IPI00678554.1;IPI00753689.1,46412.08,175175.99,,,
IPI00403827.2;IPI00330773.3;IPI00856814.1;IPI00406165.2;IPI00857542.1;IPI00857729.1,46252.01,174838.7,34.9,1325.2724928367,5009.7048710602
IPI00229852.3;IPI00875637.1,46199.19,174727.28,25.35,1822.4532544379,6892.5948717949
IPI00312067.4,46181.36,174689.66,57.42,804.2730755834,3042.3138279345
IPI00648654.1;IPI00110990.1,46158.41,174641.23,4.24,10886.4174528302,41188.9693396226
IPI00124616.2;IPI00762716.1,46076.06,174467.35,6.18,7455.6731391586,28230.9627831715
IPI00785417.1;IPI00331533.4,46074.71,174464.5,17.64,2611.9450113379,9890.2777777778
IPI00113109.3;IPI00473432.3,46059.34,174432.03,7.03,6551.826458037,24812.5220483642
IPI00649267.5;IPI00929837.1;IPI00649259.1;IPI00648995.1,45886.05,174065.62,,,
IPI00136107.1;IPI00338327.1;IPI00751809.1,45819.19,173924.09,16.77,2732.2116875373,10371.1443053071
IPI00131584.1,45773.12,173826.51,6.45,7096.607751938,26949.8465116279
IPI00857151.1;IPI00308195.1;IPI00416621.1;IPI00856408.1,45766.31,173812.08,8.01,5713.6466916355,21699.3857677903
IPI00311395.1;IPI00648810.1;IPI00648527.1,45710.7,173694.23,,,
IPI00126116.2;IPI00752477.1;IPI00387328.4;IPI00112633.1;IPI00757918.1,45624.17,173510.73,5.04,9052.4146825397,34426.7321428571
IPI00331088.1;IPI00880914.1;IPI00551190.1,45622.44,173507.06,210.03,217.2186830453,826.1060800838
IPI00938448.1;IPI00116898.3;IPI00669209.1;IPI00650024.1,45433.89,173106.68,31.13,1459.488917443,5560.7671056858
IPI00116896.1,45348.59,172925.3,,,
IPI00136618.1;IPI00886250.1;IPI00265864.3;IPI00856279.1,45157.77,172519,,,
IPI00274739.1;IPI00753114.1;IPI00121311.1;IPI00474439.1,45139.12,172479.25,141.36,319.3203169213,1220.141836446
IPI00400401.1;IPI00400402.1;IPI00649483.1;IPI00649228.1,45040.77,172269.51,16.71,2695.4380610413,10309.3662477558
IPI00128183.1;IPI00869387.1;IPI00652621.1,44966.45,172110.88,9.75,4611.9435897436,17652.397948718
IPI00470995.1;IPI00751818.1;IPI00754411.1;IPI00918547.1;IPI00918637.1,44781.72,171716.08,12.27,3649.6919315404,13994.7905460473
IPI00153207.3;,44759.71,171669,25.45,1758.731237721,6745.3438113949
IPI00109401.1,44743.02,171633.28,,,
IPI00127407.1;IPI00649962.3;IPI00856182.1;IPI00653813.1,44686.73,171512.8,21.79,2050.7907296925,7871.1702615879
IPI00319369.1;IPI00127026.1;IPI00856161.1;IPI00857623.1,44619.74,171369.32,7.89,5655.226869455,21719.8124207858
IPI00378681.6;IPI00845523.1;IPI00648709.2;IPI00845583.3;IPI00606977.3,44564.31,171250.52,26.82,1661.6073825503,6385.1797166294
IPI00222125.1,44491.51,171094.41,2.31,19260.3939393939,74066.8441558442
IPI00830611.1;IPI00125950.2;IPI00279931.1;IPI00858120.1,44473.63,171056.04,36.02,1234.6926707385,4748.9183786785
IPI00110385.1,44462.8,171032.81,12.83,3465.5339049104,13330.6944660951
IPI00420770.1;IPI00466705.1;IPI00132178.1,44449.28,171003.79,,,
IPI00125681.4;IPI00654122.1,44286.02,170653.13,21.49,2060.7733829688,7941.0483946022
IPI00338458.2;IPI00228952.1;IPI00856896.2;IPI00850298.1,44279.39,170638.87,30.2,1466.2049668874,5650.2937086093
IPI00221822.1,44272.24,170623.5,29.69,1491.1498821152,5746.8339508252
IPI00876121.1;IPI00876461.1;IPI00221876.4,44195.05,170457.48,16.1,2745.0341614907,10587.4211180124
IPI00884555.1;IPI00457959.2,44108.68,170271.57,,,
IPI00381495.5;IPI00918344.1,44056.16,170158.44,13.97,3153.6263421618,12180.2748747316
IPI00896672.1;IPI00320690.1;IPI00116381.1;IPI00605377.1,44049.92,170145,15.43,2854.8230719378,11026.8956578095
IPI00331170.1;IPI00919078.1,43938.21,169904.15,21.07,2085.3445657333,8063.794494542
IPI00124082.1,43931.32,169889.29,7.09,6196.2369534556,23961.8180535966
IPI00403890.3;IPI00845696.1;IPI00881311.1;IPI00874549.1;IPI00620804.2;IPI00874566.1;IPI00655083.1;IPI00623075.3,43857.37,169729.7,30.83,1422.5549789166,5505.3421991567
IPI00119880.1;IPI00753990.1,43731.97,169458.8,26.97,1621.504263997,6283.2332220986
IPI00402914.2,43715.8,169423.84,13.54,3228.6410635155,12512.8389955687
IPI00875068.1;IPI00262743.6;IPI00929787.1;IPI00798567.1,43638.85,169257.41,35.2,1239.7400568182,4808.4491477273
IPI00889216.1;IPI00406596.4;IPI00889253.1;IPI00889231.1;IPI00889225.1;IPI00754425.1;IPI00757126.1;IPI00758262.1;IPI00750882.2;IPI00889244.1,43633.64,169246.14,12.25,3561.9297959184,13816.0114285714
IPI00229487.1,43615.06,169205.93,22.79,1913.7806055287,7424.5691092585
IPI00129907.7,43583.21,169136.99,11.2,3891.3580357143,15101.5169642857
IPI00132005.1,43567.02,169101.94,,,
IPI00130115.1;IPI00331284.1,43418.41,168779.92,22.41,1937.4569388666,7531.4556001785
IPI00111343.1,43361.6,168656.69,19.72,2198.8640973631,8552.5704868154
IPI00224209.1;IPI00881310.1,43293.88,168509.7,31.12,1391.1915167095,5414.8361182519
IPI00124610.1;IPI00885811.1,43293.6,168509.09,17.62,2457.0715096481,9563.5124858116
IPI00831460.1;IPI00319400.7;IPI00762776.1,43212.81,168333.6,16.7,2587.5934131737,10079.8562874252
IPI00131778.6;IPI00882251.1;IPI00461241.1;IPI00881893.1,43205.74,168318.23,11.26,3837.0994671403,14948.3330373002
IPI00122318.3,43204.25,168315,,,
IPI00122131.1;,43116.19,168123.53,35.31,1221.0758991787,4761.3574058341
