ORF,protein2RNA
YCL066W,
YCL067C,
YCL068C,
YCL069W,
YCL073C,
YCL075W,
YCL076W,
YCR001W,
YCR002C,14100
YCR003W,1690
YCR004C,14600
YCR005C,2310
YCR006C,
YCR007C,
YCR008W,1030
YCR009C,7390
YCR010C,
YCR011C,339
YCR012W,314000
YCR013C,
YCR014C,
YCR015C,
YCR016W,1850
YCR017C,
YCR018C,2100
YCR018C-A,
YCR019W,
YCR020C,195
YCR020C-A,2140
YCR020W-B,3550
YCR021C,7800
YCR022C,
YCR023C,
YCR024C,784
YCR024C-A,124000
YCR025C,
YCR026C,3420
YCR027C,1600
YCR028C,
YCR028C-A,3060
YCR030C,4280
YCR031C,29600
YCR032W,
YCR033W,396
YCR034W,3510
YCR035C,3180
YCR036W,1780
YCR037C,504
YCR038C,2110
YCR038W-A,
YCR039C,
YCR040W,
YCR041W,
YCR042C,1160
YCR043C,4240
YCR044C,3050
YCR045C,
YCR046C,4150
YCR047C,1620
YCR048W,
YCR049C,
YCR050C,
YCR051W,784
YCR052W,2470
YCR053W,26000
YCR054C,8970
YCR057C,16700
YCR059C,3030
YCR060W,1660
YCR061W,
YCR063W,1900
YCR064C,
YCR065W,358
YCR066W,206
YCR067C,
YCR068W,3060
YCR069W,
YCR071C,1710
YCR072C,
YCR073C,56.9
YCR073W-A,1160
YCR075C,
YCR076C,358
YCR077C,656
YCR079W,432
YCR081W,1730
YCR082W,981
YCR083W,1010
YCR084C,5840
YCR085W,
YCR086W,1920
YCR087C-A,3430
YCR087W,
YCR088W,606
YCR089W,
YCR090C,3970
YCR091W,
YCR092C,736
YCR093W,4300
YCR094W,589
YCR095C,5370
YCR096C,
YCR097W,
YCR097W-A,
YCR098C,
YCR099C,
YCR100C,
YCR101C,
YCR102C,
YCR102W-A,
YCR104W,
YCR105W,2870
YCR106W,
YCR107W,
YDL001W,952
YDL002C,1760
YDL003W,1040
YDL004W,
YDL005C,10800
YDL006W,1520
YDL007W,
YDL008W,377
YDL009C,
YDL010W,1640
YDL011C,
YDL012C,2250
YDL013W,
YDL014W,
YDL015C,23600
YDL016C,
YDL017W,1600
YDL018C,3190
YDL019C,1070
YDL020C,
