ORF,protein2RNA
YKL062W,
YKL063C,2190
YKL064W,259
YKL065C,7210
YKL066W,
YKL067W,7130
YKL068W,358
YKL069W,2610
YKL070W,
YKL071W,
YKL072W,211
YKL073W,137
YKL074C,4170
YKL075C,98.9
YKL076C,
YKL077W,606
YKL078W,721
YKL079W,1920
YKL080W,21100
YKL081W,102000
YKL082C,
YKL083W,
YKL084W,
YKL085W,28100
YKL086W,538
YKL087C,
YKL088W,2940
YKL089W,465
YKL090W,
YKL091C,2870
YKL092C,1230
YKL093W,
YKL094W,2140
YKL095W,2250
YKL096W,2060
YKL096W-a,1590000
YKL097C,
YKL098W,
YKL099C,
YKL100C,
YKL101W,
YKL102C,
YKL103C,5730
YKL104C,14300
YKL105C,538
YKL106C-A,
YKL106W,2910
YKL107W,
YKL108W,656
YKL109W,
YKL110C,5260
YKL111C,
YKL112W,4820
YKL113C,6120
YKL114C,7250
YKL115C,
YKL116C,1510
YKL117W,33700
YKL118W,
YKL119C,2030
YKL120W,5350
YKL121W,504
YKL122C,3400
YKL123W,
YKL124W,450
YKL125W,138
YKL126W,2950
YKL127W,9820
YKL128C,3250
YKL129C,155
YKL130C,4070
YKL131W,
YKL132C,
YKL133C,
YKL134C,2690
YKL135C,2690
YKL136W,
YKL137W,259
YKL138C,2120
YKL139W,125
YKL140W,1470
YKL141W,238
YKL142W,1550
YKL143W,589
YKL144C,752
YKL145W,105
YKL146W,
YKL147C,
YKL148C,10400
YKL149C,1130
YKL150W,1920
YKL151C,3870
YKL152C,172000
YKL153W,
YKL154W,8250
YKL155C,1900
YKL156W,43300
YKL157W,2910
YKL159C,521
YKL160W,5860
YKL161C,
YKL162C,1100
YKL162C-A,
YKL163W,
YKL164C,1170
YKL165C,
YKL165C-A,
YKL166C,1590
YKL167C,
YKL168C,981
YKL169C,
YKL170W,2460
YKL171W,
YKL172W,
YKL173W,300
YKL174C,
YKL175W,
YKL176C,
YKL177W,
YKL178C,
YKL179C,2650
YKL180W,
YKL181W,11700
YKL182W,91800
YKL183W,5930
YKL184W,688
YKL185W,1800
YKL186C,
YKL187C,
YKL188C,
YKL189W,1280
YKL190W,
YKL191W,3490
YKL192C,60500
YKL193C,3870
YKL194C,1240
YKL195W,5040
YKL196C,
YKL197C,2100
YKL198C,
YKL199C,
YKL201C,
YKL202W,
YKL203C,
YKL204W,3240
YKL205W,3490
YKL206C,2940
YKL207W,
YKL208W,
YKL209C,
YKL210W,17700
YKL211C,13400
YKL212W,48000
YKL213C,6800
YKL214C,1310
YKL215C,3180
YKL216W,264000
YKL217W,
YKL218C,
YKL219W,
YKL220C,
YKL221W,
YKL222C,
YKL223W,
YKL224C,
YKL225W,
YKR001C,5960
YKR002W,17100
YKR003W,2550
YKR004C,846
YKR005C,
YKR006C,1360
YKR007W,2740
YKR008W,8570
YKR009C,
YKR010C,339
YKR011C,3150
YKR012C,
YKR013W,
YKR014C,9380
YKR015C,
YKR016W,5730
YKR017C,2250
YKR018C,1770
YKR019C,
YKR020W,319
YKR021W,414
YKR022C,892
YKR023W,1710
YKR024C,1460
YKR025W,1590
YKR026C,8970
YKR027W,2540
YKR028W,
YKR029C,623
YKR030W,
YKR031C,49.2
YKR032W,
YKR033C,
YKR034W,
YKR035C,
YKR035W-A,2440
YKR036C,589
YKR037C,
YKR038C,1270
YKR039W,
YKR040C,
YKR041W,217
YKR042W,56900
YKR043C,11500
YKR044W,319
YKR045C,
YKR046C,2160
YKR047W,
YKR048C,8070
YKR049C,1240
YKR050W,
YKR051W,
YKR052C,1340
YKR053C,
YKR054C,195
YKR055W,
YKR056W,
YKR057W,27400
YKR058W,
YKR059W,106000
YKR060W,3060
YKR061W,
YKR062W,1150
YKR063C,647
YKR064W,149
YKR065C,3000
YKR066C,6730
YKR067W,3100
YKR068C,2370
YKR069W,
YKR070W,3870
YKR071C,1050
YKR072C,3750
YKR073C,
YKR074W,1230
YKR075C,1960
YKR076W,1670
YKR077W,861
YKR078W,1270
YKR079C,2710
YKR080W,16200
YKR081C,32400
YKR082W,3060
YKR083C,279
YKR084C,2750
YKR085C,358
YKR086W,1250
YKR087C,
YKR088C,11300
YKR089C,195
YKR090W,1310
YKR091W,
YKR092C,12900
YKR093W,
YKR094C,28200
YKR095W,2710
YKR096W,195
YKR097W,
YKR098C,
YKR099W,861
YKR100C,
YKR101W,
YKR102W,
YKR103W,
YKR104W,
YKR105C,
YKR106W,
YLL001W,9620
YLL002W,1140
YLL003W,
YLL004W,
YLL005C,
YLL006W,2490
YLL007C,486
YLL008W,
YLL009C,
YLL010C,5620
YLL011W,6620
YLL012W,7770
YLL013C,846
YLL014W,
YLL015W,
YLL016W,
YLL017W,
YLL018C,
YLL018C-A,5750
YLL019C,
YLL020C,
YLL021W,274
YLL022C,4550
YLL023C,1680
YLL024C,364000
YLL025W,
YLL026W,32800
YLL027W,125
YLL028W,1470
YLL029W,3240
YLL030C,
YLL031C,300
YLL032C,922
YLL033W,
YLL034C,4490
YLL035W,
YLL036C,11700
YLL037W,
YLL038C,1960
YLL039C,
YLL040C,125
YLL041C,9540
YLL042C,
YLL043W,907
YLL044W,
YLL045C,80200
YLL046C,
YLL047W,
YLL048C,3000
YLL049W,
YLL050C,19600
YLL051C,
YLL052C,
YLL053C,
YLL054C,339
YLL055W,
YLL056C,
YLL057C,
YLL058W,2070
YLL059C,
YLL060C,
YLL061W,
YLL062C,606
YLL063C,
YLL064C,
YLL065W,
YLL066C,
YLL067C,
YLR001C,206
YLR002C,11700
YLR003C,1200
YLR004C,
YLR005W,2340
YLR006C,1200
YLR007W,
YLR008C,
YLR009W,
YLR010C,
YLR011W,1270
YLR012C,
YLR013W,
YLR014C,
YLR015W,1310
YLR016C,1470
YLR017W,4820
YLR018C,
YLR019W,
YLR020C,1630
YLR021W,1820
YLR022C,5060
YLR023C,
YLR024C,49.2
YLR025W,3270
YLR026C,300
YLR027C,7700
YLR028C,7700
YLR029C,
YLR030W,
YLR031W,
YLR032W,1520
YLR033W,4460
YLR034C,
YLR035C,71.6
YLR035C-A,217
YLR036C,967
YLR037C,
YLR038C,1390
YLR039C,78.6
YLR040C,
YLR041W,
YLR042C,
YLR043C,8580
YLR044C,8970
YLR045C,1660
YLR046C,
YLR047C,
YLR048W,60900
YLR049C,339
YLR050C,358
YLR051C,
YLR052W,2280
YLR053C,
YLR054C,
YLR055C,8430
YLR056W,36200
YLR057W,71.6
YLR058C,67600
YLR059C,1730
YLR060W,5440
YLR061W,60400
YLR062C,
YLR063W,
YLR064W,2240
YLR065C,
YLR066W,6840
YLR067C,1160
YLR068W,1460
YLR069C,6350
YLR070C,
YLR071C,319
YLR072W,672
YLR073C,377
YLR074C,5630
YLR075W,
YLR076C,
YLR077W,
YLR078C,
YLR079W,768
YLR080W,
YLR081W,
YLR082C,538
YLR083C,
YLR084C,3670
YLR085C,238
YLR086W,573
YLR087C,
YLR088W,
YLR089C,9960
YLR090W,1210
YLR091W,
YLR092W,
YLR093C,1890
YLR094C,1050
YLR095C,7520
YLR096W,
YLR097C,
YLR098C,396
YLR099C,
YLR099W-A,
YLR100W,
YLR101C,
YLR102C,
YLR103C,1730
YLR104W,1990
YLR105C,319
YLR106C,538
YLR107W,
YLR108C,189
YLR109W,16200
YLR110C,158000
YLR111W,
YLR112W,
YLR113W,6780
YLR114C,7500
YLR115W,3060
YLR116W,4380
YLR117C,2140
YLR118C,1480
YLR119W,
YLR120C,5440
YLR121C,
YLR122C,
YLR123C,
YLR124W,
YLR125W,
YLR126C,1510
YLR127C,432
YLR128W,
YLR129W,9620
YLR130C,
YLR131C,538
YLR132C,486
YLR133W,3930
YLR134W,471000
YLR135W,274
YLR136C,
YLR137W,468
YLR138W,1480
YLR139C,3430
YLR140W,
YLR141W,
YLR142W,184
YLR143W,2270
YLR144C,1420
YLR145W,556
YLR146C,3870
YLR147C,
YLR148W,2020
YLR149C,
YLR149C-A,
YLR150W,46800
YLR151C,238
YLR152C,
YLR153C,225000
YLR154C,556
YLR155C,
YLR156W,
YLR157C,
YLR158C,
YLR159W,
YLR160C,
YLR161W,
YLR162W,
YLR163C,1360
YLR164W,
YLR165C,
YLR166C,2340
YLR167W,
YLR168C,2910
YLR169W,
YLR170C,6370
YLR171W,
YLR172C,13500
YLR173W,
YLR174W,2620
YLR175W,33600
YLR176C,377
YLR177W,1550
YLR178C,1030
YLR179C,6230
YLR180W,103000
YLR181C,4400
YLR182W,3340
YLR183C,284
YLR184W,
YLR185W,21800
YLR186W,
YLR187W,
YLR188W,1040
YLR189C,396
YLR190W,1070
YLR191W,7900
YLR192C,17900
YLR193C,704
YLR194C,688
YLR195C,
YLR196W,43800
YLR197W,13500
YLR198C,
YLR199C,1350
YLR200W,784
YLR201C,3420
YLR202C,
YLR203C,4800
YLR204W,
YLR205C,
YLR206W,1970
YLR207W,
YLR208W,21400
YLR209C,1630
YLR210W,98.9
YLR211C,
YLR212C,7200
YLR213C,
YLR214W,892
YLR215C,4850
YLR216C,18600
YLR217W,
YLR218C,907
YLR219W,131
YLR220W,2840
YLR221C,2940
YLR222C,8070
YLR223C,1430
YLR224W,
YLR225C,3990
YLR226W,2910
YLR227C,
YLR228C,78.6
YLR229C,
YLR230W,
YLR231C,3060
YLR232W,
YLR233C,
YLR234W,468
YLR235C,
YLR236C,
YLR237W,3120
YLR238W,
YLR239C,1200
YLR240W,1080
YLR241W,
YLR242C,
YLR243W,
YLR244C,19600
YLR245C,3120
YLR246W,
YLR247C,143
YLR248W,1790
YLR249W,871000
YLR250W,6900
YLR251W,1870
YLR252W,
YLR253W,1600
YLR254C,1540
YLR255C,
YLR256W,
YLR257W,18600
YLR258W,14600
YLR259C,
YLR260W,1760
YLR261C,
YLR262C,7720
YLR262C-A,3100
YLR263W,
YLR264W,8600
YLR265C,377
YLR266C,
YLR267W,
YLR268W,396
YLR269C,
YLR270W,9920
YLR271W,1470
YLR272C,2540
YLR273C,
YLR274W,10300
YLR275W,799
YLR276C,
YLR277C,17400
YLR278C,1080
YLR279W,
YLR280C,
YLR281C,
YLR282C,
YLR283W,
YLR284C,
YLR285W,7280
YLR286C,6350
YLR287C,9100
YLR287C-A,37600
YLR288C,414
YLR289W,1890
YLR290C,1420
YLR291C,6650
YLR292C,5290
YLR293C,
YLR294C,
YLR295C,6140
YLR296W,
YLR297W,922
YLR298C,2140
YLR299W,672
YLR300W,4280
YLR301W,15400
YLR302C,
YLR303W,
YLR304C,96700
YLR305C,846
YLR306W,
YLR307W,
YLR308W,
YLR309C,2350
YLR310C,319
YLR311C,
YLR312C,
YLR312W-A,6490
YLR313C,672
YLR314C,
YLR315W,1630
YLR316C,892
YLR317W,
YLR318W,
YLR319C,2610
YLR320W,
YLR321C,3940
YLR322W,
YLR323C,996
YLR324W,4570
YLR325C,50200
YLR326W,1520
YLR327C,504
YLR328W,5130
YLR329W,
YLR330W,172
YLR331C,
YLR332W,
YLR333C,162000
YLR334C,
YLR335W,2960
YLR336C,3060
YLR337C,
YLR338W,
YLR339C,
YLR340W,
YLR341W,
YLR342W,
YLR343W,
YLR344W,
YLR345W,3380
YLR346C,
YLR347C,51700
YLR348C,3390
YLR349W,
YLR350W,5240
YLR351C,4510
YLR352W,125
YLR353W,
YLR354C,53000
YLR355C,883000
YLR356W,
YLR357W,2330
YLR358C,1730
YLR359W,
YLR360W,1070
YLR361C,1940
YLR362W,736
YLR363C,6090
YLR363W-A,6650
YLR364W,573
YLR365W,
YLR366W,
YLR367W,19700
YLR368W,
YLR369W,5550
YLR370C,1920
YLR371W,
YLR372W,
YLR373C,2950
YLR374C,
YLR375W,1240
YLR376C,876
YLR377C,589
YLR378C,24800
YLR379W,
YLR380W,9600
YLR381W,319
YLR382C,2120
YLR383W,339
YLR384C,10500
YLR385C,4240
YLR386W,12400
YLR387C,2240
YLR388W,6490
YLR389C,
YLR390W,1890
YLR390W-A,42000
YLR392C,736
YLR393W,1890
YLR394W,
YLR395C,672
YLR396C,830
YLR397C,799
YLR398C,5770
YLR399C,8100
YLR400W,
YLR401C,3630
YLR402W,
YLR403W,259
YLR404W,846
YLR405W,3390
YLR406C,57500
YLR407W,3140
YLR408C,468
YLR409C,2020
YLR410W,8810
YLR411W,
YLR412W,6490
YLR413W,4280
YLR414C,1660
YLR415C,
YLR416C,
YLR417W,2470
YLR418C,538
YLR419W,195
YLR420W,12700
YLR421C,12200
YLR422W,238
YLR423C,358
YLR424W,556
YLR425W,
YLR426W,2130
YLR427W,922
YLR428C,
YLR429W,2900
YLR430W,125
YLR431C,538
YLR432W,26300
YLR433C,7040
YLR434C,
YLR435W,13400
YLR436C,1080
YLR437C,
YLR438C-A,7060
YLR438W,72000
YLR439W,7700
YLR440C,1840
YLR441C,92400
YLR442C,1400
YLR443W,
YLR444C,
YLR445W,
YLR446W,
YLR447C,1630
YLR448W,38400
YLR449W,14100
YLR450W,149
YLR451W,125
YLR452C,5980
YLR453C,589
YLR454W,1360
YLR455W,2610
YLR456W,589
YLR457C,339
YLR458W,
YLR459W,
YLR460C,799
YLR461W,
YLR462W,
YLR463C,
YLR464W,
YLR465C,
YLR466W,
YLR467W,
YML001W,5530
YML002W,
YML003W,
YML004C,2570
YML005W,656
YML006C,222
YML007C-A,
YML007W,1620
YML008C,53800
YML009C,2480
YML010C-B,
YML010W,2340
YML010W-A,
YML011C,1080
YML012W,51700
YML013C-A,
YML013W,12600
YML014W,2360
YML015C,
YML016C,217
YML017W,2190
YML018C,2010
YML019W,1080
YML020W,377
YML021C,4820
YML022W,11200
YML023C,907
YML024W,30900
YML025C,1180
YML026C,112000
YML027W,861
YML028W,378000
YML029W,1890
YML030W,1210
YML031W,3030
YML032C,1080
YML034W,2100
YML035C,3910
YML035C-A,
YML036W,
YML037C,815
YML038C,
YML041C,
YML042W,450
YML043C,476
YML046W,4460
YML047C,
YML048W,21400
YML048W-A,
YML049C,
YML050W,
YML051W,784
YML052W,17000
YML053C,656
YML054C,4590
YML055W,4890
YML056C,2970
YML057W,7110
YML058C-A,
YML058W,18800
YML058W-A,
YML059C,521
YML060W,3690
YML061C,259
YML062C,5910
YML063W,107000
YML064C,573
YML065W,3930
YML066C,
YML067C,3000
YML068W,846
YML069W,22400
YML070W,23600
YML071C,6440
YML072C,4280
YML073C,37100
YML074C,9490
YML075C,
YML076C,907
YML077W,
YML078W,1960
YML079W,
YML080W,1860
YML081C-A,6540
YML081W,672
YML082W,2810
YML083C,
YML084W,
YML085C,5590
YML086C,6190
YML087C,
YML088W,639
YML089C,
YML090W,
YML091C,1160
YML092C,7060
YML093W,1470
YML094W,2900
YML095C,
YML095C-A,
YML096W,3750
YML097C,4280
YML098W,2080
YML099C,
YML100W,1960
YML100W-A,
YML101C,1850
YML102C-A,
YML102W,2130
YML103C,11700
YML104C,784
YML105C,
YML106W,39300
YML107C,2210
YML108W,2610
YML109W,105
YML110C,8100
YML111W,339
YML112W,2640
YML113W,4700
YML114C,4680
YML115C,4750
YML116W,1720
YML117W,1540
YML117W-A,
YML118W,414
YML119W,
YML120C,5240
YML121W,907
YML122C,
YML123C,335000
YML124C,12300
YML125C,29000
YML126C,34800
YML127W,2610
YML128C,1070
YML129C,6840
YML130C,
YML131W,
YML132W,639
YML133C,
YMR001C,1480
YMR002W,6960
YMR003W,2820
YMR004W,2210
YMR005W,1940
YMR006C,623
YMR007W,
YMR008C,
YMR009W,
YMR010W,937
YMR011W,
YMR012W,17000
YMR013C,
YMR013W-A,
YMR014W,3250
YMR015C,24700
YMR016C,314
YMR017W,
YMR018W,
YMR019W,98.9
YMR020W,6960
YMR021C,14800
YMR022W,2100
YMR023C,768
YMR024W,300
YMR025W,
YMR026C,907
YMR027W,6190
YMR028W,
YMR029C,4010
YMR030W,
YMR031C,5570
YMR031W-A,
YMR032W,195
YMR033W,1790
YMR034C,
YMR035W,
YMR036C,
YMR037C,125
YMR038C,12000
YMR039C,7820
YMR040W,
YMR041C,
YMR042W,
YMR043W,8970
YMR044W,5820
YMR046W-A,
YMR047C,
YMR048W,358
YMR049C,2680
YMR052C-A,
YMR052W,1540
YMR053C,
YMR054W,1080
YMR055C,
YMR056C,
YMR057C,
YMR058W,1050
YMR059W,
YMR060C,1580
YMR061W,5350
YMR062C,
YMR063W,
YMR064W,504
YMR065W,
YMR066W,396
YMR067C,3570
YMR068W,1180
YMR069W,
YMR070W,1690
YMR071C,
YMR072W,3810
YMR073C,450
YMR074C,2550
YMR075C-A,
YMR075W,486
YMR076C,7720
YMR077C,937
YMR078C,
YMR079W,84300
YMR080C,6090
YMR081C,
YMR082C,
YMR083W,11600
YMR084W,
YMR085W,
YMR086C-A,
YMR086W,
YMR087W,
YMR088C,
YMR089C,11500
YMR090W,704
YMR091C,3510
YMR092C,11100
YMR093W,358
YMR094W,
YMR095C,
YMR096W,
YMR097C,1630
YMR098C,2430
YMR099C,8580
YMR100W,125
YMR101C,
YMR102C,538
YMR103C,
YMR104C,1310
YMR105C,3790
YMR106C,358
YMR107W,259
YMR108W,31900
YMR109W,2280
YMR110C,2930
YMR111C,238
YMR112C,396
YMR113W,2340
YMR114C,
YMR115W,8970
YMR116C,333000
YMR117C,1750
YMR118C,
YMR119W,
YMR119W-A,
YMR120C,60900
YMR121C,721
YMR122C,
YMR122W-A,49500
YMR123W,5750
YMR124W,166
YMR125W,11300
YMR126C,1200
YMR127C,
YMR128W,2000
YMR129W,3410
YMR130W,
YMR131C,
YMR132C,3060
YMR133W,
YMR134W,2950
YMR135C,639
YMR135W-A,
YMR136W,
YMR137C,259
YMR138W,468
YMR139W,6990
YMR140W,556
YMR141C,
YMR142C,54200
YMR143W,33800
YMR144W,2120
YMR145C,4930
YMR146C,2400
YMR147W,
YMR148W,922
YMR149W,8450
YMR150C,
YMR151W,
YMR152W,6540
YMR153C-A,
YMR153W,2060
YMR154C,432
YMR155W,
YMR156C,
YMR157C,1710
YMR158C-B,
YMR158W,
YMR158W-A,
YMR159C,573
YMR160W,279
YMR161W,1840
YMR162C,
YMR163C,736
YMR164C,
YMR165C,3910
YMR166C,2060
YMR167W,319
YMR168C,1900
YMR169C,172
YMR170C,2070
YMR171C,656
YMR172C-A,
YMR172W,149
YMR173W,
YMR173W-A,
YMR174C,
YMR175W,2300
YMR176W,259
YMR177W,6490
YMR178W,3890
YMR179W,
YMR180C,
YMR181C,721
YMR182C,1230
YMR183C,1720
YMR184W,1270
YMR185W,
YMR186W,132000
YMR187C,
YMR188C,2810
YMR189W,12000
YMR190C,
YMR191W,
YMR192W,2010
YMR193C-A,
YMR193W,4010
YMR194C-A,
YMR194W,31600
YMR195W,4050
YMR196W,2220
YMR197C,
YMR198W,98.9
YMR199W,319
YMR200W,2360
YMR201C,1030
YMR202W,2640
YMR203W,
YMR204C,639
YMR205C,90200
YMR206W,
YMR207C,396
YMR208W,3300
YMR209C,981
YMR210W,
YMR211W,
YMR212C,1670
YMR213W,784
YMR214W,8260
YMR215W,16400
YMR216C,2420
YMR217W,
YMR218C,432
YMR219W,
YMR220W,79.7
YMR221C,
YMR222C,1070
YMR223W,1030
YMR224C,432
YMR225C,1560
YMR226C,3210
YMR227C,1050
YMR228W,9380
YMR229C,8860
YMR230W,7650
YMR231W,1200
YMR232W,
YMR233W,2360
YMR234W,149
YMR235C,52200
YMR236W,6580
YMR237W,3460
YMR238W,2950
YMR239C,4970
YMR240C,1830
YMR241W,2930
YMR242C,54300
YMR243C,8200
YMR244C-A,721
YMR244W,
YMR245W,
YMR246W,31200
YMR247C,222
YMR250W,1200
YMR251W,
YMR251W-A,6140
YMR252C,172
YMR253C,
YMR254C,
YMR255W,2730
YMR256C,639
YMR257C,538
YMR258C,3080
YMR259C,7110
YMR260C,35100
YMR261C,13500
YMR262W,125
YMR263W,704
YMR264W,589
YMR265C,
YMR266W,
YMR267W,195
YMR268C,672
YMR269W,
YMR270C,
YMR271C,815
YMR272C,3290
YMR273C,279
YMR274C,
YMR275C,486
YMR276W,3930
YMR277W,6550
YMR278W,4960
YMR279C,
YMR280C,
YMR281W,
YMR282C,2680
YMR283C,259
YMR284W,892
YMR285C,3570
YMR286W,1200
YMR287C,1070
YMR288W,521
YMR289W,768
YMR290C,
YMR290W-A,217
YMR291W,10200
YMR292W,
YMR293C,486
YMR294W,
YMR294W-A,
YMR295C,10800
YMR296C,22400
YMR297W,44000
YMR298W,
YMR299C,1170
YMR300C,18700
YMR301C,3250
YMR302C,5260
YMR303C,1620
YMR304C-A,
YMR304W,2810
YMR305C,10500
YMR306C-A,
YMR306W,
YMR307W,12400
YMR308C,15500
YMR309C,78900
YMR310C,2540
YMR311C,3440
YMR312W,
YMR313C,3210
YMR314W,7210
YMR315W,9600
YMR316C-A,
YMR316C-B,
YMR316W,736
YMR317W,
YMR318C,21700
YMR319C,573
YMR320W,
YMR321C,
YMR322C,
YMR323W,
YMR324C,
YMR325W,
YMR326C,
YNL001W,1720
YNL002C,7720
YNL003C,521
YNL004W,1990
YNL005C,2290
YNL006W,589
YNL007C,20300
YNL008C,
YNL009W,
YNL010W,12600
YNL011C,1100
YNL012W,
YNL013C,
YNL014W,125
YNL015W,
YNL016W,49600
YNL017C,
YNL018C,
YNL019C,
YNL020C,1550
YNL021W,3050
YNL022C,922
YNL023C,589
YNL024C,1760
YNL025C,
YNL026W,
YNL027W,1160
YNL028W,
YNL029C,450
YNL030W,681000
YNL031C,248000
YNL032W,4070
YNL033W,396
YNL034W,
YNL035C,3970
YNL036W,2330
YNL037C,10500
YNL038W,
YNL039W,
YNL040W,1470
YNL041C,1720
YNL042W,
YNL043C,
YNL044W,5500
YNL045W,5590
YNL046W,704
YNL047C,2610
YNL048W,3140
YNL049C,1720
YNL050C,
YNL051W,468
YNL052W,3670
YNL053W,538
YNL054W,
YNL055C,
YNL056W,4530
YNL057W,
YNL058C,
YNL059C,2170
YNL061W,18700
YNL062C,2580
YNL063W,13200
YNL064C,119000
YNL065W,
YNL066W,24700
YNL067W,76000
YNL067W-A,
YNL068C,656
YNL069C,
YNL070W,3250
YNL071W,5440
YNL072W,623
YNL073W,2280
YNL074C,
YNL075W,
YNL076W,
YNL077W,125
YNL078W,504
YNL079C,3060
YNL080C,937
YNL081C,259
YNL082W,521
YNL083W,1170
YNL084C,2610
YNL085W,3430
YNL086W,195
YNL087W,2630
YNL088W,5730
YNL089C,
YNL090W,3870
YNL091W,217
YNL092W,952
YNL093W,830
YNL094W,2290
YNL095C,
YNL096C,43500
YNL097C,3250
YNL098C,19800
YNL099C,2310
YNL100W,5460
YNL101W,
YNL102W,1050
YNL103W,1300
YNL104C,6630
YNL105W,
YNL106C,
YNL107W,259
YNL108C,1950
YNL109W,
YNL110C,4280
YNL111C,5390
YNL112W,33100
YNL113W,8680
YNL114C,
YNL115C,
YNL116W,1750
YNL117W,
YNL118C,8530
YNL119W,2860
YNL120C,
YNL121C,45300
YNL122C,
YNL123W,3150
YNL124W,1810
YNL125C,
YNL126W,56.9
YNL127W,1080
YNL128W,
YNL129W,1460
YNL130C,981
YNL131W,6610
YNL132W,
YNL133C,468
YNL134C,3490
YNL135C,43300
YNL136W,300
YNL137C,3270
YNL138W,8760
YNL139C,521
YNL140C,1590
YNL141W,20700
YNL142W,
YNL143C,238
YNL144C,
YNL145W,
YNL146W,
YNL147W,3070
YNL148C,656
YNL149C,
YNL150W,
YNL151C,
YNL152W,
YNL153C,7470
YNL154C,6160
YNL155W,4280
YNL156C,3390
YNL157W,
YNL158W,6940
YNL159C,
YNL160W,
YNL161W,450
YNL162W,13600
YNL162W-A,396
YNL163C,7770
YNL164C,
YNL165W,
YNL166C,
YNL167C,504
YNL168C,2550
YNL169C,1080
YNL170W,
YNL171C,
YNL172W,178
YNL173C,1240
YNL174W,
YNL175C,3830
YNL176C,
YNL177C,1810
YNL178W,146000
YNL179C,
YNL180C,2180
YNL181W,13900
YNL182C,
YNL183C,284
YNL184C,623
YNL185C,3190
YNL186W,
YNL187W,
YNL188W,
YNL189W,2790
YNL190W,1380
YNL191W,7300
YNL192W,
YNL193W,
YNL194C,
YNL195C,
YNL196C,
YNL197C,5730
YNL198C,
YNL199C,
YNL200C,1380
YNL201C,7010
YNL202W,
YNL203C,
YNL204C,
YNL205C,
YNL206C,11100
YNL207W,10300
YNL208W,
YNL209W,104000
YNL210W,
YNL211C,
YNL212W,3500
YNL213C,1160
YNL214W,656
YNL215W,1470
YNL216W,4390
YNL217W,
YNL218W,1180
YNL219C,
YNL220W,56800
YNL221C,846
YNL222W,
YNL223W,3300
YNL224C,1440
YNL225C,
YNL226W,
YNL227C,2310
YNL228W,
YNL229C,7060
YNL230C,815
YNL231C,15400
YNL232W,5550
YNL233W,
YNL234W,195
YNL235C,
YNL236W,1720
YNL237W,
YNL238W,
YNL239W,521
YNL240C,
YNL241C,15000
YNL242W,876
YNL243W,40600
YNL244C,
YNL245C,861
YNL246W,3120
YNL247W,23000
YNL248C,
YNL249C,1050
YNL250W,830
YNL251C,19600
YNL252C,7430
YNL253W,
YNL254C,799
YNL255C,96700
YNL256W,4590
YNL257C,432
YNL258C,8970
YNL259C,
YNL260C,784
YNL261W,768
YNL262W,1970
YNL263C,
YNL264C,5040
YNL265C,4760
YNL266W,
YNL267W,1600
YNL268W,2580
YNL269W,
YNL270C,
YNL271C,166
YNL272C,13200
YNL273W,952
YNL274C,3280
YNL275W,195
YNL276C,
YNL277W,2240
YNL278W,1380
YNL279W,
YNL280C,1600
YNL281W,8530
YNL282W,1360
YNL283C,
YNL284C,5350
YNL285W,
YNL286W,1360
YNL287W,77900
YNL288W,18800
YNL289W,606
YNL290W,3140
YNL291C,3210
YNL292W,3990
YNL293W,178
YNL294C,
YNL295W,504
YNL296W,
YNL297C,2410
YNL298W,
YNL299W,2240
YNL300W,1480
YNL301C,63700
YNL302C,3440
YNL303W,
YNL304W,2850
YNL305C,
YNL306W,5300
YNL307C,396
YNL308C,1780
YNL309W,319
YNL310C,1520
YNL311C,432
YNL312W,6080
YNL313C,8070
YNL314W,
YNL315C,2840
YNL316C,2020
YNL317W,7810
YNL318C,
YNL319W,
YNL320W,259
YNL321W,259
YNL322C,623
YNL323W,2460
YNL324W,
YNL325C,339
YNL326C,2130
YNL327W,
YNL328C,573
YNL329C,1630
YNL330C,3850
YNL331C,
YNL332W,
YNL333W,
YNL334C,
YNL335W,
YNL336W,1730
YNL337W,
YNL338W,
YNR001C,
YNR001W-A,
YNR002C,
YNR003C,
YNR004W,1720
YNR005C,
YNR006W,172
YNR007C,3610
YNR008W,
YNR009W,2880
YNR010W,1360
YNR011C,172
YNR012W,
YNR013C,4280
YNR014W,2360
YNR015W,2650
YNR016C,20200
YNR017W,1440
YNR018W,12000
YNR019W,279
YNR020C,
YNR021W,34900
YNR022C,
YNR023W,
YNR024W,1350
YNR025C,
YNR026C,6160
YNR027W,6580
YNR028W,
YNR029C,1560
YNR030W,3550
YNR031C,217
YNR032C-A,
YNR032W,1960
YNR033W,1550
YNR034W,1970
YNR034W-A,2820
YNR035C,13400
YNR036C,238
YNR037C,
YNR038W,12700
YNR039C,
YNR040W,1140
YNR041C,
YNR042W,
YNR043W,13700
YNR044W,
YNR045W,450
YNR046W,4800
YNR047W,752
YNR048W,4510
YNR049C,1380
YNR050C,57500
YNR051C,11700
YNR052C,1520
YNR053C,67700
YNR054C,12800
YNR055C,
YNR056C,
YNR057C,
YNR058W,
YNR059W,
YNR060W,
YNR061C,339
YNR062C,
YNR063W,
YNR064C,
YNR065C,
YNR066C,
YNR067C,64.3
YNR068C,
YNR069C,
YNR070W,
YNR071C,
YNR072W,
YNR073C,
YNR074C,1560
YNR075W,2370
YNR076W,
YNR077C,
YOL001W,
YOL002C,
YOL003C,
YOL004W,1660
YOL005C,4280
YOL006C,2970
YOL007C,
YOL008W,
YOL009C,1070
YOL010W,10000
YOL011W,
